SCHEDULED_DEPARTURE,carrier,DEPARTURE_TIME,dest,distance,flightnumber,origin,weather,dayweek,daymonth,tailnu,delay,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,delaytimeweatherbad,delaytimeweathergood,YEAR,MONTH,DAY,DATE
105,MQ,102,LGA,214,4976,DCA,0,4,1,N724MQ,ontime,-3,183,163,150,608,545,-23,164.38,14.53,2015,1,2,1/1/1993
115,UA,112,LGA,229,846,IAD,0,4,1,N513UA,ontime,-3,183,175,156,618,607,-11,164.3675,14.565,2015,1,2,2/1/1993
115,US,107,LGA,214,2164,DCA,0,4,1,N709UW,ontime,-8,213,218,186,548,545,-3,164.27,14.573,2015,1,2,3/1/1993
115,US,127,LGA,214,2168,DCA,0,4,1,N748UW,ontime,12,207,220,166,542,607,25,164.11,14.5331,2015,1,2,4/1/1993
120,US,110,LGA,214,2172,DCA,0,4,1,N709UW,ontime,-10,245,224,205,825,754,-31,164.13,14.505,2015,1,3,5/1/1993
120,US,141,LGA,214,2176,DCA,0,4,1,N748UW,ontime,21,227,208,188,707,709,2,164.2,14.4701,2015,1,3,6/1/1993
125,US,237,LGA,214,2180,DCA,0,4,1,N709UW,ontime,72,204,175,156,549,632,43,164.2565,14.515,2015,1,3,7/1/1993
127,US,116,LGA,214,2188,DCA,0,4,1,N709UW,ontime,-11,239,234,217,726,710,-16,164.32,14.51,2015,1,3,8/1/1993
135,RU,1452,EWR,169,2403,BWI,0,4,1,N14916,ontime,17,205,205,233,600,700,8,164.5892,14.525,2015,1,3,9/1/1993
140,RU,1710,EWR,169,2675,BWI,0,4,1,N16954,ontime,-6,215,215,182,715,725,10,164.4422,14.4999,2015,1,3,10/1/1993
144,RU,1030,EWR,169,2303,BWI,0,4,1,N26549,ontime,-4,170,170,148,634,630,-4,164.28,14.5,2015,1,3,11/1/1993
145,RU,656,EWR,169,2703,BWI,0,4,1,N16954,ontime,0,370,370,361,555,610,15,164.19,14.5398,2015,1,3,12/1/1993
152,CO,1256,EWR,199,808,DCA,0,4,1,N18611,ontime,-9,323,323,298,915,905,-10,164.23,14.5599,2015,1,3,1/1/1994
154,CO,1726,EWR,199,814,DCA,0,4,1,N19357,ontime,3,255,255,220,509,458,-11,164.25,14.55,2015,1,3,2/1/1994
155,DH,840,EWR,213,7299,IAD,0,4,1,N691BR,ontime,-15,218,218,170,633,558,-35,164.03,14.49,2015,1,3,3/1/1994
155,DH,1704,EWR,213,7302,IAD,0,4,1,N691BR,ontime,-2,235,235,231,450,501,11,164.08,14.49,2015,1,3,4/1/1994
155,DH,1245,EWR,213,7303,IAD,0,4,1,N697BR,ontime,-16,208,208,174,523,450,-33,163.9,14.48,2015,1,3,5/1/1994
159,DH,2118,EWR,213,7304,IAD,0,4,1,N699BR,ontime,-1,123,123,103,502,503,1,163.9,14.51,2015,1,3,6/1/1994
200,RU,1651,EWR,213,2497,IAD,0,4,1,N12540,ontime,14,120,120,333,500,460,7,163.79,14.471,2015,1,3,7/1/1994
200,RU,1850,EWR,213,2385,IAD,0,4,1,N16149,ontime,-10,210,210,182,630,619,-11,163.6361,14.48,2015,1,3,8/1/1994
200,RU,1521,EWR,199,2261,DCA,0,4,1,N12564,ontime,-5,184,184,149,504,453,-11,163.88,14.455,2015,1,3,9/1/1994
206,RU,1855,EWR,199,2336,DCA,0,4,1,N21537,ontime,-14,246,246,239,512,516,4,164.1971,14.5,2015,1,3,10/1/1994
220,RU,1357,EWR,199,2216,DCA,0,4,1,N15983,ontime,-11,224,224,183,804,728,-36,164.165,14.51,2015,1,3,11/1/1994
220,RU,1508,EWR,213,2156,IAD,0,4,1,N16149,ontime,-11,200,200,176,640,628,-12,164.18,14.52,2015,1,3,12/1/1994
255,RU,1255,EWR,213,2664,IAD,0,4,1,N12519,ontime,-7,185,185,169,500,451,-9,164.21,14.55,2015,1,3,1/1/1995
259,RU,1625,EWR,199,2181,DCA,0,4,1,N19966,ontime,-1,240,240,225,559,605,6,164.28,14.56,2015,1,3,2/1/1995
307,OH,1455,JFK,184,5935,BWI,0,5,2,N995CA,ontime,-3,173,173,160,500,520,20,164.2203,14.57,2015,1,3,3/1/1995
330,DH,1641,JFK,213,6155,DCA,0,5,2,N415FJ,ontime,-14,245,245,224,635,619,-16,164.23,14.55,2015,1,3,4/1/1995
400,DH,1249,LGA,229,7208,IAD,0,5,2,N688BR,ontime,95,185,185,163,605,730,85,164.3,14.55,2015,1,3,5/1/1995
419,DH,1531,LGA,229,7211,IAD,0,5,2,N665BR,delayed,4,174,174,148,613,606,-7,164.27,14.57,2015,1,3,6/1/1995
424,DH,1712,LGA,229,7215,IAD,0,5,2,N639BR,ontime,-11,186,186,166,630,629,-1,164.315,14.58,2015,1,3,7/1/1995
438,DH,645,LGA,229,7790,IAD,0,5,2,N686BR,ontime,72,241,241,237,739,908,89,164.2799,14.56,2015,1,3,8/1/1995
500,DH,1236,LGA,229,7792,IAD,0,5,2,N665BR,delayed,-1,228,228,214,748,751,3,164.31,14.56,2015,1,3,9/1/1995
500,DH,859,JFK,228,7800,IAD,0,5,2,N645BR,ontime,-4,70,70,39,610,610,0,164.44,14.58,2015,1,3,10/1/1995
500,DH,1232,JFK,228,7806,IAD,0,5,2,N332UE,ontime,-8,49,49,35,549,543,-6,164.51,14.57,2015,1,3,11/1/1995
500,DH,1455,JFK,228,7808,IAD,0,5,2,N324UE,ontime,13,89,89,61,629,638,9,164.61,14.585,2015,1,3,12/1/1995
502,DH,1645,JFK,228,7810,IAD,0,5,2,N305UE,ontime,-1,42,42,30,544,549,5,164.45,14.56,2015,1,3,1/1/1996
505,DH,1716,JFK,228,7812,IAD,0,5,2,N322UE,ontime,-8,205,205,179,930,916,-14,164.4,14.565,2015,1,3,2/1/1996
505,DH,2305,JFK,228,7814,IAD,0,5,2,N657BR,delayed,-11,36,36,20,541,530,-11,164.46,14.5832,2015,1,4,3/1/1996
510,DH,1605,JFK,228,7816,IAD,0,5,2,N315UE,ontime,4,175,175,147,805,816,11,164.55,14.555,2015,1,4,4/1/1996
510,DH,2118,LGA,229,7924,IAD,0,5,2,N709BR,ontime,-3,63,63,38,613,602,-11,164.2962,14.51,2015,1,4,5/1/1996
510,DL,1458,JFK,213,746,DCA,0,5,2,N964DL,ontime,-4,140,140,112,730,720,-10,164.37,14.51,2015,1,4,6/1/1996
510,DL,930,LGA,214,1746,DCA,0,5,2,N241DL,ontime,-10,68,68,35,618,618,0,164.43,14.54,2015,1,4,7/1/1996
510,DL,1230,LGA,214,1752,DCA,0,5,2,N225DL,ontime,-2,69,69,41,619,615,-4,164.43,14.525,2015,1,4,8/1/1996
510,DL,1427,LGA,214,1756,DCA,0,5,2,N241DL,ontime,-9,87,87,455,637,500,5,164.33,14.525,2015,1,4,9/1/1996
515,DL,1730,LGA,214,1762,DCA,0,5,2,N225DL,ontime,-5,165,165,146,900,858,-2,164.23,14.54,2015,1,4,10/1/1996
515,DL,2028,LGA,214,1768,DCA,0,5,2,N241DL,ontime,10,161,161,133,856,1038,102,164.2,14.54,2015,1,4,11/1/1996
515,MQ,1522,JFK,213,4752,DCA,0,5,2,N720MQ,ontime,-5,208,208,182,843,845,2,164.29,14.555,2015,1,4,12/1/1996
515,MQ,552,JFK,213,4760,DCA,0,5,2,N736MQ,ontime,2,178,178,163,813,826,13,164.15,14.525,2015,1,4,1/1/1997
520,MQ,1847,JFK,213,4784,DCA,0,5,2,N727MQ,ontime,60,150,150,132,850,950,60,164.13,14.53,2015,1,4,2/1/1997
520,MQ,852,LGA,214,4956,DCA,0,5,2,N713MQ,ontime,58,141,141,111,841,935,54,164.23,14.535,2015,1,4,3/1/1997
520,MQ,1053,LGA,214,4960,DCA,0,5,2,N708MQ,ontime,-9,103,103,66,803,757,-6,164.21,14.535,2015,1,4,4/1/1997
520,MQ,1258,LGA,214,4964,DCA,0,5,2,N713MQ,ontime,-3,74,74,49,634,629,-5,164.28,14.526,2015,1,4,5/1/1997
520,MQ,1402,LGA,214,4966,DCA,0,5,2,N718MQ,ontime,-6,66,66,42,726,711,-15,164.38,14.535,2015,1,4,6/1/1997
520,MQ,1456,LGA,214,4968,DCA,0,5,2,N708MQ,ontime,5,112,112,79,612,615,3,164.27,14.52,2015,1,4,7/1/1997
520,UA,850,LGA,229,846,IAD,0,5,2,N556UA,ontime,-3,60,60,34,620,629,9,164.21,14.505,2015,1,4,8/1/1997
523,US,657,LGA,214,2160,DCA,0,5,2,N710UW,ontime,-10,37,37,21,600,548,-12,164.27,14.4932,2015,1,4,9/1/1997
525,US,857,LGA,214,2164,DCA,0,5,2,N736UW,ontime,0,65,65,35,730,735,5,164.35,14.485,2015,1,4,10/1/1997
525,US,1058,LGA,214,2168,DCA,0,5,2,N710UW,ontime,33,95,95,845,700,600,6,164.2905,14.46,2015,1,4,11/1/1997
530,US,1258,LGA,214,2172,DCA,0,5,2,N736UW,ontime,2,230,230,210,820,826,6,164.24,14.46,2015,1,5,12/1/1997
530,US,1458,LGA,214,2176,DCA,0,5,2,N710UW,ontime,4,142,142,125,852,856,4,164.21,14.4293,2015,1,5,1/1/1998
530,US,1655,LGA,214,2180,DCA,0,5,2,N736UW,ontime,-1,157,157,138,907,906,-1,164.24,14.43,2015,1,5,2/1/1998
530,US,1855,LGA,214,2184,DCA,0,5,2,N710UW,ontime,53,125,125,96,835,941,66,164.34,14.47,2015,1,5,3/1/1998
530,US,2056,LGA,214,2188,DCA,0,5,2,N736UW,ontime,-3,55,55,22,525,511,-14,164.19,14.455,2015,1,5,4/1/1998
530,RU,1715,EWR,169,2675,BWI,0,5,2,N19966,ontime,-4,160,160,128,810,752,-18,164.1097,14.431,2015,1,5,5/1/1998
530,RU,1030,EWR,169,2303,BWI,0,5,2,N12540,ontime,-4,188,188,149,938,913,-25,164.08,14.43,2015,1,5,6/1/1998
530,RU,656,EWR,169,2703,BWI,0,5,2,N16961,ontime,16,90,90,690,700,890,14,164.11,14.3838,2015,1,5,7/1/1998
530,RU,1456,EWR,169,2403,BWI,0,5,2,N12946,ontime,-4,163,163,143,913,926,13,164.03,14.395,2015,1,5,8/1/1998
531,CO,1727,EWR,199,814,DCA,0,5,2,N14342,ontime,19,146,146,127,857,923,26,164.21,14.38,2015,1,5,9/1/1998
533,CO,1301,EWR,199,808,DCA,0,5,2,N14664,ontime,7,167,167,142,720,723,3,164.14,14.41,2015,1,5,10/1/1998
535,CO,754,EWR,199,806,DCA,0,5,2,N11641,ontime,6,207,207,194,802,816,14,164.09,14.4,2015,1,5,11/1/1998
535,DH,837,EWR,213,7299,IAD,0,5,2,N679BR,ontime,-5,88,88,56,703,648,-15,164.08,14.3801,2015,1,5,12/1/1998
535,DH,1350,EWR,213,7303,IAD,0,5,2,N686BR,delayed,-7,85,85,50,700,635,-25,164.09,14.37,2015,1,6,1/1/1999
535,DH,1512,EWR,213,7307,IAD,0,5,2,N309UE,delayed,43,225,225,184,1020,1039,19,163.96,14.35,2015,1,6,2/1/1999
535,DH,629,EWR,213,7371,IAD,0,5,2,N312UE,ontime,-12,61,61,33,636,615,-21,163.92,14.325,2015,1,6,3/1/1999
535,RU,1625,EWR,199,2181,DCA,0,5,2,N14977,ontime,-5,88,88,54,803,745,-18,163.7333,14.305,2015,1,6,4/1/1999
535,RU,655,EWR,213,2855,IAD,0,5,2,N13990,ontime,15,85,85,41,800,757,-3,163.84,14.35,2015,1,6,5/1/1999
535,RU,858,EWR,199,2582,DCA,0,5,2,N14907,ontime,-5,75,75,42,650,650,0,163.9605,14.35,2015,1,6,6/1/1999
538,RU,657,EWR,199,2761,DCA,0,5,2,N13997,ontime,56,142,142,129,900,1018,78,164.03,14.38,2015,1,6,7/1/1999
538,RU,1650,EWR,213,2497,IAD,0,5,2,N12528,ontime,-3,212,212,173,710,654,-16,164.0303,14.4,2015,1,6,8/1/1999
540,RU,1856,EWR,213,2385,IAD,0,5,2,N11107,ontime,-4,101,101,66,721,700,-21,164.01,14.38,2015,1,6,9/1/1999
540,RU,1253,EWR,213,2692,IAD,0,5,2,N14505,ontime,-11,136,136,95,856,823,-33,164.05,14.39,2015,1,6,10/1/1999
540,RU,854,EWR,213,3276,IAD,0,5,2,N16151,ontime,18,223,223,178,1123,1331,128,164.07,14.42,2015,1,6,11/1/1999
540,RU,1858,EWR,199,2336,DCA,0,5,2,N15985,ontime,6,122,122,84,842,827,-15,164.28,14.4457,2015,1,7,12/1/1999
540,RU,2050,EWR,199,2879,DCA,0,5,2,N17108,ontime,-3,143,143,105,803,742,-21,164.2,14.431,2015,1,7,1/1/2000
540,RU,1358,EWR,199,2216,DCA,0,5,2,N13118,ontime,16,105,105,79,725,739,14,164.125,14.415,2015,1,7,2/1/2000
540,RU,1510,EWR,213,2156,IAD,0,5,2,N11107,delayed,-9,137,137,109,757,743,-14,164.18,14.41,2015,1,7,3/1/2000
540,RU,1519,EWR,199,2261,DCA,0,5,2,N15574,ontime,-2,161,161,138,921,946,25,164.0494,14.41,2015,1,7,4/1/2000
540,DH,1243,LGA,229,7208,IAD,0,6,3,N688BR,ontime,-3,193,193,158,953,937,-16,164.06,14.395,2015,1,7,5/1/2000
541,DH,1738,LGA,229,7215,IAD,0,6,3,N639BR,ontime,-2,104,104,72,725,732,7,164.01,14.39,2015,1,7,6/1/2000
544,DH,640,LGA,229,7790,IAD,0,6,3,N696BR,ontime,-10,145,145,128,709,658,-11,164.1068,14.41,2015,1,7,7/1/2000
545,DH,1030,LGA,229,7792,IAD,0,6,3,N696BR,ontime,-2,74,74,36,759,738,-21,164.2887,14.436,2015,1,7,8/1/2000
545,DH,855,JFK,228,7800,IAD,0,6,3,N709BR,ontime,-3,139,139,107,904,858,-6,164.3001,14.445,2015,1,7,9/1/2000
545,DH,1237,JFK,228,7806,IAD,0,6,3,N327UE,ontime,-4,251,251,238,1156,1207,11,164.41,14.4458,2015,1,7,10/1/2000
545,DH,1455,JFK,228,7808,IAD,0,6,3,N309UE,ontime,5,209,209,182,814,807,-7,164.36,14.47,2015,1,7,11/1/2000
545,DH,1654,JFK,228,7810,IAD,0,6,3,N311UE,ontime,-6,65,65,41,650,638,-12,164.28,14.465,2015,1,8,12/1/2000
545,DH,1741,JFK,228,7812,IAD,0,6,3,N327UE,ontime,55,185,185,152,850,959,69,164.23,14.45,2015,1,8,1/1/2001
545,DH,2213,JFK,228,7814,IAD,0,6,3,N655BR,delayed,6,205,205,170,910,901,-9,164.25,14.46,2015,1,8,2/1/2001
545,DH,1604,JFK,228,7816,IAD,0,6,3,N329UE,ontime,-2,77,77,44,702,649,-13,164.305,14.461,2015,1,8,3/1/2001
545,DH,2138,LGA,229,7924,IAD,0,6,3,N688BR,ontime,0,221,221,180,1026,1007,-19,164.19,14.49,2015,1,8,4/1/2001
545,DL,1505,JFK,213,746,DCA,0,6,3,N997DL,delayed,18,124,124,86,849,847,-2,164.08,14.47,2015,1,8,5/1/2001
545,DL,828,LGA,214,1744,DCA,0,6,3,N225DL,ontime,-5,116,116,91,741,742,1,164.21,14.4938,2015,1,8,6/1/2001
545,DL,1030,LGA,214,1748,DCA,0,6,3,N242DL,ontime,36,161,161,120,726,743,17,164.27,14.47,2015,1,8,7/1/2001
545,DL,1230,LGA,214,1752,DCA,0,6,3,N225DL,ontime,-7,129,129,104,654,646,-8,164.25,14.45,2015,1,8,8/1/2001
545,DL,1428,LGA,214,1756,DCA,0,6,3,N242DL,ontime,3,190,190,478,755,750,8,164.3086,14.46,2015,1,8,9/1/2001
545,DL,1629,LGA,214,1760,DCA,0,6,3,N225DL,ontime,73,150,150,112,715,811,56,164.3,14.47,2015,1,8,10/1/2001
545,DL,1829,LGA,214,1764,DCA,0,6,3,N242DL,ontime,-3,154,154,134,919,929,10,164.38,14.48,2015,1,8,11/1/2001
545,DL,2024,LGA,214,1768,DCA,0,6,3,N225DL,ontime,79,66,66,468,651,750,4,164.33,14.48,2015,1,8,12/1/2001
548,MQ,1600,JFK,213,4752,DCA,0,6,3,N734MQ,delayed,-8,42,42,27,630,624,-6,164.3,14.485,2015,1,8,1/1/2002
549,MQ,555,JFK,213,4760,DCA,0,6,3,N712MQ,ontime,-9,96,96,78,725,719,-6,164.375,14.5199,2015,1,8,2/1/2002
550,MQ,1829,JFK,213,4784,DCA,0,6,3,N709MQ,ontime,-3,314,314,263,1404,1329,-35,164.43,14.525,2015,1,8,3/1/2002
550,MQ,855,LGA,214,4956,DCA,0,6,3,N739MQ,ontime,-5,240,240,234,750,754,4,164.345,14.525,2015,1,8,4/1/2002
550,MQ,1254,LGA,214,4964,DCA,0,6,3,N739MQ,ontime,0,145,145,118,915,906,-9,164.2667,14.55,2015,1,8,5/1/2002
550,UA,849,LGA,229,846,IAD,0,6,3,N567UA,ontime,39,194,194,170,804,847,43,164.2601,14.53,2015,1,8,6/1/2002
550,US,655,LGA,214,2160,DCA,0,6,3,N760UW,ontime,2,88,88,46,718,659,-19,164.26,14.505,2015,1,8,7/1/2002
550,US,858,LGA,214,2164,DCA,0,6,3,N710UW,ontime,0,119,119,91,749,739,-10,164.31,14.52,2015,1,8,8/1/2002
550,US,1059,LGA,214,2168,DCA,0,6,3,N760UW,ontime,-6,178,178,159,748,743,-5,164.22,14.5,2015,1,8,9/1/2002
550,US,1256,LGA,214,2172,DCA,0,6,3,N710UW,ontime,-2,60,60,36,650,649,-1,164.13,14.51,2015,1,8,10/1/2002
550,US,1500,LGA,214,2176,DCA,0,6,3,N760UW,ontime,10,180,180,150,1050,1052,2,164.0425,14.5184,2015,1,8,11/1/2002
550,US,1658,LGA,214,2180,DCA,0,6,3,N710UW,ontime,0,59,59,28,649,649,0,164.0905,14.5101,2015,1,9,12/1/2002
550,US,1857,LGA,214,2184,DCA,0,6,3,N760UW,ontime,-2,149,149,127,819,812,-7,164.01,14.51,2015,1,9,1/1/2003
550,RU,1714,EWR,169,2675,BWI,0,6,3,N15574,ontime,-2,135,135,110,805,806,1,163.88,14.5,2015,1,9,2/1/2003
550,RU,655,EWR,169,2703,BWI,0,6,3,N11536,ontime,-7,88,88,58,718,659,-19,163.9342,14.53,2015,1,9,3/1/2003
550,RU,1026,EWR,169,2303,BWI,0,6,3,N14907,ontime,46,55,55,213,645,600,-7,163.91,14.51,2015,1,9,4/1/2003
550,RU,1448,EWR,169,2267,BWI,0,6,3,N14974,ontime,-2,205,205,195,815,828,13,163.94,14.51,2015,1,9,5/1/2003
550,CO,1255,EWR,199,808,DCA,0,6,3,N11612,ontime,6,150,150,125,920,940,20,164.07,14.5268,2015,1,9,6/1/2003
550,DH,857,EWR,213,7299,IAD,0,6,3,N693BR,delayed,7,249,249,198,759,740,-19,164.02,14.505,2015,1,9,7/1/2003
550,DH,1705,EWR,213,7302,IAD,0,6,3,N693BR,ontime,15,140,140,120,810,831,21,163.89,14.5,2015,1,9,8/1/2003
550,DH,1329,EWR,213,7303,IAD,0,6,3,N672BR,delayed,-1,143,143,130,913,919,6,163.8001,14.47,2015,1,9,9/1/2003
553,DH,2126,EWR,213,7304,IAD,0,6,3,N643BR,ontime,-2,166,166,162,839,848,9,163.65,14.44,2015,1,9,10/1/2003
554,DH,625,EWR,213,7371,IAD,0,6,3,N333UE,ontime,0,131,131,84,905,848,-17,163.6,14.44,2015,1,9,11/1/2003
555,RU,1722,EWR,213,2497,IAD,0,6,3,N17146,ontime,-2,150,150,132,925,923,-2,163.58,14.44,2015,1,9,12/1/2003
555,RU,1356,EWR,199,2216,DCA,0,6,3,N17513,ontime,2,341,341,310,836,840,4,163.6,14.4301,2015,1,9,1/1/2004
555,RU,658,EWR,213,2855,IAD,0,6,3,N14925,ontime,-6,156,156,131,831,818,-13,163.59,14.4299,2015,1,9,2/1/2004
555,RU,941,EWR,199,2582,DCA,0,6,3,N14977,ontime,0,235,235,216,1150,1206,16,163.59,14.415,2015,1,9,3/1/2004
555,RU,1738,EWR,199,2097,DCA,0,6,3,N14998,ontime,-4,275,275,243,930,920,-10,163.59,14.4257,2015,1,9,4/1/2004
555,RU,1556,EWR,199,2181,DCA,0,6,3,N13955,ontime,-5,83,83,43,718,705,-13,163.63,14.4358,2015,1,9,5/1/2004
555,RU,1511,EWR,213,2156,IAD,0,6,3,N12136,ontime,-5,85,85,48,720,703,-17,163.63,14.445,2015,1,9,6/1/2004
555,RU,703,EWR,199,2761,DCA,0,6,3,N14907,ontime,-9,50,50,25,645,636,-9,163.83,14.456,2015,1,9,7/1/2004
555,OH,1605,JFK,184,5935,BWI,0,7,4,N973CA,delayed,-1,94,94,58,729,717,-12,163.908,14.46,2015,1,9,8/1/2004
555,DH,1644,JFK,213,6155,DCA,0,7,4,N424FJ,ontime,0,69,69,39,604,610,6,163.86,14.48,2015,1,9,9/1/2004
555,DH,1249,LGA,229,7208,IAD,0,7,4,N632BR,ontime,23,80,80,48,715,1101,226,163.89,14.47,2015,1,9,10/1/2004
555,DH,1535,LGA,229,7211,IAD,0,7,4,N654BR,delayed,10,75,75,788,710,600,-8,163.8707,14.455,2015,1,9,11/1/2004
556,DH,1837,LGA,229,7215,IAD,0,7,4,N634BR,delayed,-18,94,94,65,730,708,-22,163.92,14.48,2015,1,9,12/1/2004
556,DH,640,LGA,229,7790,IAD,0,7,4,N654BR,ontime,-9,124,124,92,900,927,27,163.98,14.508,2015,1,9,1/1/2005
557,DH,1032,LGA,229,7792,IAD,0,7,4,N654BR,ontime,-2,192,192,160,1109,1053,-16,164.11,14.5102,2015,1,9,2/1/2005
559,DH,900,JFK,228,7800,IAD,0,7,4,N673BR,ontime,-7,183,183,149,902,849,-13,164.09,14.5362,2015,1,9,3/1/2005
559,DH,1243,JFK,228,7806,IAD,0,7,4,N330UE,ontime,19,141,141,123,920,1116,116,164.05,14.535,2015,1,9,4/1/2005
600,DH,1504,JFK,228,7808,IAD,0,7,4,N314UE,ontime,-4,139,139,100,719,656,-23,164,14.52,2015,1,9,5/1/2005
600,DH,1642,JFK,228,7810,IAD,0,7,4,N313UE,ontime,-5,170,170,146,750,747,-3,164.05,14.5,2015,1,9,6/1/2005
600,DH,1709,JFK,228,7812,IAD,0,7,4,N312UE,ontime,11,148,148,118,928,1131,123,163.93,14.51,2015,1,9,7/1/2005
600,DH,2120,JFK,228,7814,IAD,0,7,4,N626BR,ontime,0,156,156,133,736,735,-1,164.0001,14.505,2015,1,9,8/1/2005
600,DH,1607,JFK,228,7816,IAD,0,7,4,N327UE,ontime,3,173,173,135,853,835,-18,164.09,14.5274,2015,1,9,9/1/2005
600,DH,2116,LGA,229,7924,IAD,0,7,4,N674BR,ontime,12,97,97,57,737,731,-6,163.97,14.51,2015,1,10,10/1/2005
600,DL,1500,JFK,213,746,DCA,0,7,4,N912DL,ontime,-9,110,110,90,850,902,12,164.0401,14.53,2015,1,10,11/1/2005
600,DL,828,LGA,214,1744,DCA,0,7,4,N242DL,ontime,-2,115,115,88,855,903,8,164,14.51,2015,1,10,12/1/2005
600,DL,1028,LGA,214,1748,DCA,0,7,4,N221DL,ontime,-5,139,139,114,819,805,-14,163.9901,14.525,2015,1,10,1/1/2006
600,DL,1230,LGA,214,1752,DCA,0,7,4,N242DL,ontime,-3,130,130,120,910,924,14,164.0601,14.54,2015,1,10,2/1/2006
600,DL,1432,LGA,214,1756,DCA,0,7,4,N221DL,ontime,22,195,195,175,815,839,24,164.13,14.53,2015,1,10,3/1/2006
600,DL,1629,LGA,214,1760,DCA,0,7,4,N242DL,ontime,-8,142,142,114,922,918,-4,164.13,14.5289,2015,1,10,4/1/2006
600,DL,1832,LGA,214,1764,DCA,0,7,4,N221DL,ontime,-4,105,105,63,745,719,-26,164.0801,14.5297,2015,1,10,5/1/2006
600,DL,2030,LGA,214,1768,DCA,0,7,4,N242DL,ontime,2,270,270,230,1330,1305,-25,164.15,14.5199,2015,1,10,6/1/2006
