schedtime,carrier,deptime,dest,distance,date,flightnumber,origin,weather,dayweek,daymonth,tailnu,delay,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,delaytimeweathergood,delaytimeweatherbad
530,US,2056,LGA,214,1/2/2004,2188,DCA,0,5,2,N736UW,ontime,-3,55,55,525,511,-14,14.455,164.19
530,RU,1715,EWR,169,1/2/2004,2675,BWI,0,5,2,N19966,ontime,-4,160,160,810,752,-18,14.431,164.1097
530,RU,1030,EWR,169,1/2/2004,2303,BWI,0,5,2,N12540,ontime,-4,188,188,938,913,-25,14.43,164.08
530,RU,656,EWR,169,1/2/2004,2703,BWI,0,5,2,N16961,ontime,,90,90,700,,,14.3838,164.11
530,RU,1456,EWR,169,1/2/2004,2403,BWI,0,5,2,N12946,ontime,-4,163,163,913,926,13,14.395,164.03
531,CO,1727,EWR,199,1/2/2004,814,DCA,0,5,2,N14342,ontime,19,146,146,857,923,26,14.38,164.21
533,CO,1301,EWR,199,1/2/2004,808,DCA,0,5,2,N14664,ontime,7,167,167,720,723,3,14.41,164.14
535,CO,754,EWR,199,1/2/2004,806,DCA,0,5,2,N11641,ontime,6,207,207,802,816,14,14.4,164.09
535,DH,837,EWR,213,1/2/2004,7299,IAD,0,5,2,N679BR,ontime,-5,88,88,703,648,-15,14.3801,164.08
535,DH,1350,EWR,213,1/2/2004,7303,IAD,0,5,2,N686BR,delayed,-7,85,85,700,635,-25,14.37,164.09
535,DH,1512,EWR,213,1/2/2004,7307,IAD,0,5,2,N309UE,delayed,43,225,225,1020,1039,19,14.35,163.96
535,DH,629,EWR,213,1/2/2004,7371,IAD,0,5,2,N312UE,ontime,-12,61,61,636,615,-21,14.325,163.92
535,RU,1625,EWR,199,1/2/2004,2181,DCA,0,5,2,N14977,ontime,-5,88,88,803,745,-18,14.305,163.7333
535,RU,655,EWR,213,1/2/2004,2855,IAD,0,5,2,N13990,ontime,15,85,85,800,757,-3,14.35,163.84
535,RU,858,EWR,199,1/2/2004,2582,DCA,0,5,2,N14907,ontime,-5,75,75,650,650,0,14.35,163.9605
538,RU,657,EWR,199,1/2/2004,2761,DCA,0,5,2,N13997,ontime,56,142,142,900,1018,78,14.38,164.03
538,RU,1650,EWR,213,1/2/2004,2497,IAD,0,5,2,N12528,ontime,-3,212,212,710,654,-16,14.4,164.0303
540,RU,1856,EWR,213,1/2/2004,2385,IAD,0,5,2,N11107,ontime,-4,101,101,721,700,-21,14.38,164.01
540,RU,1253,EWR,213,1/2/2004,2692,IAD,0,5,2,N14505,ontime,-11,136,136,856,823,-33,14.39,164.05
540,RU,854,EWR,213,1/2/2004,3276,IAD,0,5,2,N16151,ontime,148,223,223,1123,1331,128,14.42,164.07
540,RU,1858,EWR,199,1/2/2004,2336,DCA,0,5,2,N15985,ontime,6,122,122,842,827,-15,14.4457,164.28
540,RU,2050,EWR,199,1/2/2004,2879,DCA,0,5,2,N17108,ontime,-3,143,143,803,742,-21,14.431,164.2
540,RU,1358,EWR,199,1/2/2004,2216,DCA,0,5,2,N13118,ontime,16,105,105,725,739,14,14.415,164.125
540,RU,1510,EWR,213,1/2/2004,2156,IAD,0,5,2,N11107,delayed,-9,137,137,757,743,-14,14.41,164.18
540,RU,1519,EWR,199,1/2/2004,2261,DCA,0,5,2,N15574,ontime,-2,161,161,921,946,25,14.41,164.0494
540,DH,1243,LGA,229,1/3/2004,7208,IAD,0,6,3,N688BR,ontime,-3,193,193,953,937,-16,14.395,164.06
541,DH,1738,LGA,229,1/3/2004,7215,IAD,0,6,3,N639BR,ontime,-2,104,104,725,732,7,14.39,164.01
544,DH,640,LGA,229,1/3/2004,7790,IAD,0,6,3,N696BR,ontime,-10,145,145,709,658,-11,14.41,164.1068
545,DH,1030,LGA,229,1/3/2004,7792,IAD,0,6,3,N696BR,ontime,-2,74,74,759,738,-21,14.436,164.2887
545,DH,855,JFK,228,1/3/2004,7800,IAD,0,6,3,N709BR,ontime,-3,139,139,904,858,-6,14.445,164.3001
545,DH,1237,JFK,228,1/3/2004,7806,IAD,0,6,3,N327UE,ontime,-4,251,251,1156,1207,11,14.4458,164.41
545,DH,1455,JFK,228,1/3/2004,7808,IAD,0,6,3,N309UE,ontime,5,209,209,814,807,-7,14.47,164.36
545,DH,1654,JFK,228,1/3/2004,7810,IAD,0,6,3,N311UE,ontime,-6,65,65,650,638,-12,14.465,164.28
545,DH,1741,JFK,228,1/3/2004,7812,IAD,0,6,3,N327UE,ontime,55,185,185,850,959,69,14.45,164.23
545,DH,2213,JFK,228,1/3/2004,7814,IAD,0,6,3,N655BR,delayed,6,205,205,910,901,-9,14.46,164.25
545,DH,1604,JFK,228,1/3/2004,7816,IAD,0,6,3,N329UE,ontime,-2,77,77,702,649,-13,14.461,164.305
545,DH,2138,LGA,229,1/3/2004,7924,IAD,0,6,3,N688BR,ontime,0,221,221,1026,1007,-19,14.49,164.19
545,DL,1505,JFK,213,1/3/2004,746,DCA,0,6,3,N997DL,delayed,18,124,124,849,847,-2,14.47,164.08
545,DL,828,LGA,214,1/3/2004,1744,DCA,0,6,3,N225DL,ontime,-5,116,116,741,742,1,14.4938,164.21
545,DL,1030,LGA,214,1/3/2004,1748,DCA,0,6,3,N242DL,ontime,36,161,161,726,743,17,14.47,164.27
545,DL,1230,LGA,214,1/3/2004,1752,DCA,0,6,3,N225DL,ontime,-7,129,129,654,646,-8,14.45,164.25
545,DL,1428,LGA,214,1/3/2004,1756,DCA,0,6,3,N242DL,ontime,,190,190,755,,,14.46,164.3086
545,DL,1629,LGA,214,1/3/2004,1760,DCA,0,6,3,N225DL,ontime,73,150,150,715,811,56,14.47,164.3
545,DL,1829,LGA,214,1/3/2004,1764,DCA,0,6,3,N242DL,ontime,-3,154,154,919,929,10,14.48,164.38
545,DL,2024,LGA,214,1/3/2004,1768,DCA,0,6,3,N225DL,ontime,,66,66,651,,,14.48,164.33
548,MQ,1600,JFK,213,1/3/2004,4752,DCA,0,6,3,N734MQ,delayed,-8,42,42,630,624,-6,14.485,164.3
549,MQ,555,JFK,213,1/3/2004,4760,DCA,0,6,3,N712MQ,ontime,-9,96,96,725,719,-6,14.5199,164.375
550,MQ,1829,JFK,213,1/3/2004,4784,DCA,0,6,3,N709MQ,ontime,-3,314,314,1404,1329,-35,14.525,164.43
550,MQ,855,LGA,214,1/3/2004,4956,DCA,0,6,3,N739MQ,ontime,-5,240,240,750,754,4,14.525,164.345
550,MQ,1254,LGA,214,1/3/2004,4964,DCA,0,6,3,N739MQ,ontime,0,145,145,915,906,-9,14.55,164.2667
550,UA,849,LGA,229,1/3/2004,846,IAD,0,6,3,N567UA,ontime,39,194,194,804,847,43,14.53,164.2601
550,US,655,LGA,214,1/3/2004,2160,DCA,0,6,3,N760UW,ontime,2,88,88,718,659,-19,14.505,164.26
550,US,858,LGA,214,1/3/2004,2164,DCA,0,6,3,N710UW,ontime,0,119,119,749,739,-10,14.52,164.31
550,US,1059,LGA,214,1/3/2004,2168,DCA,0,6,3,N760UW,ontime,-6,178,178,748,743,-5,14.5,164.22
550,US,1256,LGA,214,1/3/2004,2172,DCA,0,6,3,N710UW,ontime,-2,60,60,650,649,-1,14.51,164.13
550,US,1500,LGA,214,1/3/2004,2176,DCA,0,6,3,N760UW,ontime,10,180,180,1050,1052,2,14.5184,164.0425
550,US,1658,LGA,214,1/3/2004,2180,DCA,0,6,3,N710UW,ontime,0,59,59,649,649,0,14.5101,164.0905
550,US,1857,LGA,214,1/3/2004,2184,DCA,0,6,3,N760UW,ontime,-2,149,149,819,812,-7,14.51,164.01
550,RU,1714,EWR,169,1/3/2004,2675,BWI,0,6,3,N15574,ontime,-2,135,135,805,806,1,14.5,163.88
550,RU,655,EWR,169,1/3/2004,2703,BWI,0,6,3,N11536,ontime,-7,88,88,718,659,-19,14.53,163.9342
550,RU,1026,EWR,169,1/3/2004,2303,BWI,0,6,3,N14907,ontime,,55,55,645,,,14.51,163.91
550,RU,1448,EWR,169,1/3/2004,2267,BWI,0,6,3,N14974,ontime,-2,205,205,815,828,13,14.51,163.94
550,CO,1255,EWR,199,1/3/2004,808,DCA,0,6,3,N11612,ontime,6,150,150,920,940,20,14.5268,164.07
550,DH,857,EWR,213,1/3/2004,7299,IAD,0,6,3,N693BR,delayed,7,249,249,759,740,-19,14.505,164.02
550,DH,1705,EWR,213,1/3/2004,7302,IAD,0,6,3,N693BR,ontime,15,140,140,810,831,21,14.5,163.89
550,DH,1329,EWR,213,1/3/2004,7303,IAD,0,6,3,N672BR,delayed,-1,143,143,913,919,6,14.47,163.8001
553,DH,2126,EWR,213,1/3/2004,7304,IAD,0,6,3,N643BR,ontime,-2,166,166,839,848,9,14.44,163.65
554,DH,625,EWR,213,1/3/2004,7371,IAD,0,6,3,N333UE,ontime,0,131,131,905,848,-17,14.44,163.6
555,RU,1722,EWR,213,1/3/2004,2497,IAD,0,6,3,N17146,ontime,-2,150,150,925,923,-2,14.44,163.58
555,RU,1356,EWR,199,1/3/2004,2216,DCA,0,6,3,N17513,ontime,2,341,341,836,840,4,14.4301,163.6
555,RU,658,EWR,213,1/3/2004,2855,IAD,0,6,3,N14925,ontime,-6,156,156,831,818,-13,14.4299,163.59
555,RU,941,EWR,199,1/3/2004,2582,DCA,0,6,3,N14977,ontime,0,235,235,1150,1206,16,14.415,163.59
555,RU,1738,EWR,199,1/3/2004,2097,DCA,0,6,3,N14998,ontime,-4,275,275,930,920,-10,14.4257,163.59
555,RU,1556,EWR,199,1/3/2004,2181,DCA,0,6,3,N13955,ontime,-5,83,83,718,705,-13,14.4358,163.63
555,RU,1511,EWR,213,1/3/2004,2156,IAD,0,6,3,N12136,ontime,-5,85,85,720,703,-17,14.445,163.63
555,RU,703,EWR,199,1/3/2004,2761,DCA,0,6,3,N14907,ontime,-9,50,50,645,636,-9,14.456,163.83
555,OH,1605,JFK,184,1/4/2004,5935,BWI,0,7,4,N973CA,delayed,-1,94,94,729,717,-12,14.46,163.908
555,DH,1644,JFK,213,1/4/2004,6155,DCA,0,7,4,N424FJ,ontime,0,69,69,604,610,6,14.48,163.86
555,DH,1249,LGA,229,1/4/2004,7208,IAD,0,7,4,N632BR,ontime,213,80,80,715,1101,226,14.47,163.89
555,DH,1535,LGA,229,1/4/2004,7211,IAD,0,7,4,N654BR,delayed,,75,75,710,,,14.455,163.8707
556,DH,1837,LGA,229,1/4/2004,7215,IAD,0,7,4,N634BR,delayed,-18,94,94,730,708,-22,14.48,163.92
556,DH,640,LGA,229,1/4/2004,7790,IAD,0,7,4,N654BR,ontime,-9,124,124,900,927,27,14.508,163.98
557,DH,1032,LGA,229,1/4/2004,7792,IAD,0,7,4,N654BR,ontime,-2,192,192,1109,1053,-16,14.5102,164.11
559,DH,900,JFK,228,1/4/2004,7800,IAD,0,7,4,N673BR,ontime,-7,183,183,902,849,-13,14.5362,164.09
559,DH,1243,JFK,228,1/4/2004,7806,IAD,0,7,4,N330UE,ontime,119,141,141,920,1116,116,14.535,164.05
600,DH,1504,JFK,228,1/4/2004,7808,IAD,0,7,4,N314UE,ontime,-4,139,139,719,656,-23,14.52,164
600,DH,1642,JFK,228,1/4/2004,7810,IAD,0,7,4,N313UE,ontime,-5,170,170,750,747,-3,14.5,164.05
600,DH,1709,JFK,228,1/4/2004,7812,IAD,0,7,4,N312UE,ontime,111,148,148,928,1131,123,14.51,163.93
600,DH,2120,JFK,228,1/4/2004,7814,IAD,0,7,4,N626BR,ontime,0,156,156,736,735,-1,14.505,164.0001
600,DH,1607,JFK,228,1/4/2004,7816,IAD,0,7,4,N327UE,ontime,3,173,173,853,835,-18,14.5274,164.09
600,DH,2116,LGA,229,1/4/2004,7924,IAD,0,7,4,N674BR,ontime,12,97,97,737,731,-6,14.51,163.97
600,DL,1500,JFK,213,1/4/2004,746,DCA,0,7,4,N912DL,ontime,-9,110,110,850,902,12,14.53,164.0401
600,DL,828,LGA,214,1/4/2004,1744,DCA,0,7,4,N242DL,ontime,-2,115,115,855,903,8,14.51,164
600,DL,1028,LGA,214,1/4/2004,1748,DCA,0,7,4,N221DL,ontime,-5,139,139,819,805,-14,14.525,163.9901
600,DL,1230,LGA,214,1/4/2004,1752,DCA,0,7,4,N242DL,ontime,-3,130,130,910,924,14,14.54,164.0601
600,DL,1432,LGA,214,1/4/2004,1756,DCA,0,7,4,N221DL,ontime,22,195,195,815,839,24,14.53,164.13
600,DL,1629,LGA,214,1/4/2004,1760,DCA,0,7,4,N242DL,ontime,-8,142,142,922,918,-4,14.5289,164.13
600,DL,1832,LGA,214,1/4/2004,1764,DCA,0,7,4,N221DL,ontime,-4,105,105,745,719,-26,14.5297,164.0801
600,DL,2030,LGA,214,1/4/2004,1768,DCA,0,7,4,N242DL,ontime,2,270,270,1330,1305,-25,14.5199,164.15
600,MQ,1534,JFK,213,1/4/2004,4752,DCA,0,7,4,N712MQ,delayed,7,120,120,900,922,22,14.52,164.0801
600,MQ,554,JFK,213,1/4/2004,4760,DCA,0,7,4,N737MQ,ontime,1,95,95,735,729,-6,14.52,164.09
600,MQ,745,JFK,213,1/4/2004,4771,DCA,0,7,4,N719MQ,ontime,-1,170,170,850,824,-26,14.52,164.0801
600,MQ,1858,JFK,213,1/4/2004,4784,DCA,0,7,4,N727MQ,delayed,6,100,100,740,727,-13,14.525,164.0501
600,MQ,1257,LGA,214,1/4/2004,4964,DCA,0,7,4,N737MQ,ontime,-6,280,280,1340,1324,-16,14.525,164.02
600,MQ,1458,LGA,214,1/4/2004,4968,DCA,0,7,4,N727MQ,delayed,-3,257,257,1217,1213,-4,14.52,164
600,MQ,1659,LGA,214,1/4/2004,4972,DCA,0,7,4,N708MQ,ontime,-5,154,154,834,816,-18,14.51,163.93
600,MQ,1936,LGA,214,1/4/2004,4976,DCA,0,7,4,N719MQ,delayed,13,244,244,1204,1215,11,14.525,163.97
600,UA,849,LGA,229,1/4/2004,846,IAD,0,7,4,N559UA,ontime,-3,173,173,753,742,-11,14.53,163.98
600,US,858,LGA,214,1/4/2004,2164,DCA,0,7,4,N730UW,ontime,5,88,88,728,717,-11,14.5391,164.02
600,US,954,LGA,214,1/4/2004,2166,DCA,0,7,4,N765UW,ontime,16,207,207,727,724,-3,14.53,163.94
600,US,1055,LGA,214,1/4/2004,2168,DCA,0,7,4,N746UW,ontime,3,404,404,944,939,-5,14.5151,163.97
600,US,1158,LGA,214,1/4/2004,2170,DCA,0,7,4,N711UW,ontime,6,311,311,1411,1357,-14,14.51,163.86
600,US,1257,LGA,214,1/4/2004,2172,DCA,0,7,4,N730UW,ontime,7,250,250,1210,1154,-16,14.52,163.92
600,US,1359,LGA,214,1/4/2004,2174,DCA,0,7,4,N765UW,ontime,-7,170,170,750,746,-4,14.51,163.86
600,US,1456,LGA,214,1/4/2004,2176,DCA,0,7,4,N746UW,ontime,-3,281,281,841,851,10,14.525,163.94
600,US,1559,LGA,214,1/4/2004,2178,DCA,0,7,4,N711UW,ontime,-3,114,114,854,857,3,14.51,163.89
600,US,1658,LGA,214,1/4/2004,2180,DCA,0,7,4,N730UW,ontime,6,145,145,925,928,3,14.53,163.89
600,US,1758,LGA,214,1/4/2004,2182,DCA,0,7,4,N765UW,ontime,4,164,164,844,858,14,14.515,163.84
600,US,1857,LGA,214,1/4/2004,2184,DCA,0,7,4,N746UW,ontime,1,170,170,950,1002,12,14.5099,163.91
600,US,1957,LGA,214,1/4/2004,2186,DCA,0,7,4,N711UW,ontime,,215,215,835,,,14.52,163.9
600,US,2059,LGA,214,1/4/2004,2188,DCA,0,7,4,N730UW,ontime,-1,194,194,814,813,-1,14.5299,163.92
600,RU,1615,EWR,169,1/4/2004,2403,BWI,0,7,4,N14943,delayed,43,163,163,843,914,31,14.535,163.99
600,RU,1416,EWR,169,1/4/2004,2703,BWI,0,7,4,N13949,delayed,-6,190,190,1010,1005,-5,14.525,163.965
600,RU,2030,EWR,169,1/4/2004,2603,BWI,0,7,4,N14933,delayed,,245,245,905,,,14.532,164.02
600,RU,1235,EWR,169,1/4/2004,2303,BWI,0,7,4,N19966,delayed,1,155,155,935,908,-27,14.55,164.0466
600,CO,1255,EWR,199,1/4/2004,808,DCA,0,7,4,N59630,ontime,6,105,105,745,748,3,14.5454,163.9701
600,CO,1833,EWR,199,1/4/2004,810,DCA,0,7,4,N16649,delayed,,185,185,805,,,14.555,164.03
