carrier,origin,dest,flightnumber,tailnu,date,dayweek,daymonth,YEAR,MONTH,DAY,weather,distance,delay,SCHEDULED_DEPARTURE,DEPARTURE_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DELAY_LABEL,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,delaytimeweathergood,delaytimeweatherbad
DL,DCA,LGA,1762,N241DL,1/1/2004,4,1,2015,1,2,0,214,ontime,45,41,509,455,-14,,-4,204,194,173,14.609,164.91
DL,DCA,LGA,1768,N242DL,1/1/2004,4,1,2015,1,2,0,214,ontime,45,31,515,451,-24,,-14,210,200,171,14.625,164.84
MQ,DCA,JFK,4752,N709MQ,1/1/2004,4,1,2015,1,2,0,213,ontime,48,42,626,619,-7,,-6,218,217,199,14.605,164.875
MQ,DCA,JFK,4760,N717MQ,1/1/2004,4,1,2015,1,2,0,213,ontime,50,46,525,507,-18,,-4,215,201,187,14.605,164.8
MQ,DCA,JFK,4784,N707MQ,1/1/2004,4,1,2015,1,2,0,213,ontime,50,45,603,551,-12,,-5,193,186,171,14.5935,164.825
MQ,DCA,LGA,4956,N737MQ,1/1/2004,4,1,2015,1,2,0,214,delayed,55,120,537,543,6,,25,162,143,128,14.64,164.82
MQ,DCA,LGA,4964,N717MQ,1/1/2004,4,1,2015,1,2,0,214,ontime,100,52,938,939,1,,-8,338,347,311,14.605,164.74
MQ,DCA,LGA,4966,N726MQ,1/1/2004,4,1,2015,1,2,0,214,ontime,103,102,530,529,-1,,-1,147,147,128,14.5893,164.6881
MQ,DCA,LGA,4968,N724MQ,1/1/2004,4,1,2015,1,2,0,214,ontime,105,103,851,839,-12,,-2,286,276,255,14.5593,164.53
MQ,DCA,LGA,4976,N724MQ,1/1/2004,4,1,2015,1,2,0,214,ontime,105,102,608,545,-23,,-3,183,163,150,14.53,164.38
UA,IAD,LGA,846,N513UA,1/1/2004,4,1,2015,1,2,0,229,ontime,115,112,618,607,-11,,-3,183,175,156,14.565,164.3675
US,DCA,LGA,2164,N709UW,1/1/2004,4,1,2015,1,2,0,214,ontime,115,107,548,545,-3,,-8,213,218,186,14.573,164.27
US,DCA,LGA,2168,N748UW,1/1/2004,4,1,2015,1,2,0,214,delayed,115,127,542,607,25,,12,207,220,166,14.5331,164.11
US,DCA,LGA,2172,N709UW,1/1/2004,4,1,2015,1,3,0,214,ontime,120,110,825,754,-31,,-10,245,224,205,14.505,164.13
US,DCA,LGA,2176,N748UW,1/1/2004,4,1,2015,1,3,0,214,delayed,120,141,707,709,2,,21,227,208,188,14.4701,164.2
US,DCA,LGA,2180,N709UW,1/1/2004,4,1,2015,1,3,0,214,delayed,125,237,549,632,43,,72,204,175,156,14.515,164.2565
US,DCA,LGA,2188,N709UW,1/1/2004,4,1,2015,1,3,0,214,ontime,127,116,726,710,-16,,-11,239,234,217,14.51,164.32
RU,BWI,EWR,2403,N14916,1/1/2004,4,1,2015,1,3,0,169,delayed,135,1452,600,700,8,,17,205,205,233,14.525,164.5892
RU,BWI,EWR,2675,N16954,1/1/2004,4,1,2015,1,3,0,169,ontime,140,1710,715,725,10,,-6,215,215,182,14.4999,164.4422
RU,BWI,EWR,2303,N26549,1/1/2004,4,1,2015,1,3,0,169,ontime,144,1030,634,630,-4,,-4,170,170,148,14.5,164.28
RU,BWI,EWR,2703,N16954,1/1/2004,4,1,2015,1,3,0,169,delayed,145,656,555,610,15,,0,370,370,361,14.5398,164.19
CO,DCA,EWR,808,N18611,1/1/2004,4,1,2015,1,3,0,199,ontime,152,1256,915,905,-10,,-9,323,323,298,14.5599,164.23
CO,DCA,EWR,814,N19357,1/1/2004,4,1,2015,1,3,0,199,delayed,154,1726,509,458,-11,,3,255,255,220,14.55,164.25
DH,IAD,EWR,7299,N691BR,1/1/2004,4,1,2015,1,3,0,213,ontime,155,840,633,558,-35,,-15,218,218,170,14.49,164.03
DH,IAD,EWR,7302,N691BR,1/1/2004,4,1,2015,1,3,0,213,ontime,155,1704,450,501,11,,-2,235,235,231,14.49,164.08
DH,IAD,EWR,7303,N697BR,1/1/2004,4,1,2015,1,3,0,213,ontime,155,1245,523,450,-33,,-16,208,208,174,14.48,163.9
DH,IAD,EWR,7304,N699BR,1/1/2004,4,1,2015,1,3,0,213,ontime,159,2118,502,503,1,,-1,123,123,103,14.51,163.9
RU,IAD,EWR,2497,N12540,1/1/2004,4,1,2015,1,3,0,213,delayed,200,1651,500,460,7,,14,120,120,333,14.471,163.79
RU,IAD,EWR,2385,N16149,1/1/2004,4,1,2015,1,3,0,213,ontime,200,1850,630,619,-11,,-10,210,210,182,14.48,163.6361
RU,DCA,EWR,2261,N12564,1/1/2004,4,1,2015,1,3,0,199,ontime,200,1521,504,453,-11,,-5,184,184,149,14.455,163.88
RU,DCA,EWR,2336,N21537,1/1/2004,4,1,2015,1,3,0,199,ontime,206,1855,512,516,4,,-14,246,246,239,14.5,164.1971
RU,DCA,EWR,2216,N15983,1/1/2004,4,1,2015,1,3,0,199,ontime,220,1357,804,728,-36,,-11,224,224,183,14.51,164.165
RU,IAD,EWR,2156,N16149,1/1/2004,4,1,2015,1,3,0,213,ontime,220,1508,640,628,-12,,-11,200,200,176,14.52,164.18
RU,IAD,EWR,2664,N12519,1/1/2004,4,1,2015,1,3,0,213,ontime,255,1255,500,451,-9,,-7,185,185,169,14.55,164.21
RU,DCA,EWR,2181,N19966,1/1/2004,4,1,2015,1,3,0,199,ontime,259,1625,559,605,6,,-1,240,240,225,14.56,164.28
OH,BWI,JFK,5935,N995CA,1/2/2004,5,2,2015,1,3,0,184,ontime,307,1455,500,520,20,,-3,173,173,160,14.57,164.2203
DH,DCA,JFK,6155,N415FJ,1/2/2004,5,2,2015,1,3,0,213,ontime,330,1641,635,619,-16,,-14,245,245,224,14.55,164.23
DH,IAD,LGA,7208,N688BR,1/2/2004,5,2,2015,1,3,0,229,delayed,400,1249,605,730,85,,95,185,185,163,14.55,164.3
DH,IAD,LGA,7211,N665BR,1/2/2004,5,2,2015,1,3,0,229,delayed,419,1531,613,606,-7,,4,174,174,148,14.57,164.27
DH,IAD,LGA,7215,N639BR,1/2/2004,5,2,2015,1,3,0,229,ontime,424,1712,630,629,-1,,-11,186,186,166,14.58,164.315
DH,IAD,LGA,7790,N686BR,1/2/2004,5,2,2015,1,3,0,229,delayed,438,645,739,908,89,,72,241,241,237,14.56,164.2799
DH,IAD,LGA,7792,N665BR,1/2/2004,5,2,2015,1,3,0,229,ontime,500,1236,748,751,3,,-1,228,228,214,14.56,164.31
DH,IAD,JFK,7800,N645BR,1/2/2004,5,2,2015,1,3,0,228,ontime,500,859,610,610,0,,-4,70,70,39,14.58,164.44
DH,IAD,JFK,7806,N332UE,1/2/2004,5,2,2015,1,3,0,228,ontime,500,1232,549,543,-6,,-8,49,49,35,14.57,164.51
DH,IAD,JFK,7808,N324UE,1/2/2004,5,2,2015,1,3,0,228,delayed,500,1455,629,638,9,,13,89,89,61,14.585,164.61
DH,IAD,JFK,7810,N305UE,1/2/2004,5,2,2015,1,3,0,228,ontime,502,1645,544,549,5,,-1,42,42,30,14.56,164.45
DH,IAD,JFK,7812,N322UE,1/2/2004,5,2,2015,1,3,0,228,ontime,505,1716,930,916,-14,,-8,205,205,179,14.565,164.4
DH,IAD,JFK,7814,N657BR,1/2/2004,5,2,2015,1,4,0,228,ontime,505,2305,541,530,-11,,-11,36,36,20,14.5832,164.46
DH,IAD,JFK,7816,N315UE,1/2/2004,5,2,2015,1,4,0,228,delayed,510,1605,805,816,11,,4,175,175,147,14.555,164.55
DH,IAD,LGA,7924,N709BR,1/2/2004,5,2,2015,1,4,0,229,ontime,510,2118,613,602,-11,,-3,63,63,38,14.51,164.2962
DL,DCA,JFK,746,N964DL,1/2/2004,5,2,2015,1,4,0,213,ontime,510,1458,730,720,-10,,-4,140,140,112,14.51,164.37
DL,DCA,LGA,1746,N241DL,1/2/2004,5,2,2015,1,4,0,214,ontime,510,930,618,618,0,,-10,68,68,35,14.54,164.43
DL,DCA,LGA,1752,N225DL,1/2/2004,5,2,2015,1,4,0,214,ontime,510,1230,619,615,-4,,-2,69,69,41,14.525,164.43
DL,DCA,LGA,1756,N241DL,1/2/2004,5,2,2015,1,4,0,214,ontime,510,1427,637,500,5,,-9,87,87,455,14.525,164.33
DL,DCA,LGA,1762,N225DL,1/2/2004,5,2,2015,1,4,0,214,ontime,515,1730,900,858,-2,,-5,165,165,146,14.54,164.23
DL,DCA,LGA,1768,N241DL,1/2/2004,5,2,2015,1,4,0,214,delayed,515,2028,856,1038,102,,10,161,161,133,14.54,164.2
MQ,DCA,JFK,4752,N720MQ,1/2/2004,5,2,2015,1,4,0,213,ontime,515,1522,843,845,2,,-5,208,208,182,14.555,164.29
MQ,DCA,JFK,4760,N736MQ,1/2/2004,5,2,2015,1,4,0,213,delayed,515,552,813,826,13,,2,178,178,163,14.525,164.15
MQ,DCA,JFK,4784,N727MQ,1/2/2004,5,2,2015,1,4,0,213,delayed,520,1847,850,950,60,,60,150,150,132,14.53,164.13
MQ,DCA,LGA,4956,N713MQ,1/2/2004,5,2,2015,1,4,0,214,delayed,520,852,841,935,54,,58,141,141,111,14.535,164.23
MQ,DCA,LGA,4960,N708MQ,1/2/2004,5,2,2015,1,4,0,214,ontime,520,1053,803,757,-6,,-9,103,103,66,14.535,164.21
MQ,DCA,LGA,4964,N713MQ,1/2/2004,5,2,2015,1,4,0,214,ontime,520,1258,634,629,-5,,-3,74,74,49,14.526,164.28
MQ,DCA,LGA,4966,N718MQ,1/2/2004,5,2,2015,1,4,0,214,ontime,520,1402,726,711,-15,,-6,66,66,42,14.535,164.38
MQ,DCA,LGA,4968,N708MQ,1/2/2004,5,2,2015,1,4,0,214,delayed,520,1456,612,615,3,,5,112,112,79,14.52,164.27
UA,IAD,LGA,846,N556UA,1/2/2004,5,2,2015,1,4,0,229,ontime,520,850,620,629,9,,-3,60,60,34,14.505,164.21
US,DCA,LGA,2160,N710UW,1/2/2004,5,2,2015,1,4,0,214,ontime,523,657,600,548,-12,,-10,37,37,21,14.4932,164.27
US,DCA,LGA,2164,N736UW,1/2/2004,5,2,2015,1,4,0,214,delayed,525,857,730,735,5,,0,65,65,35,14.485,164.35
US,DCA,LGA,2168,N710UW,1/2/2004,5,2,2015,1,4,0,214,delayed,525,1058,700,600,6,,33,95,95,845,14.46,164.2905
US,DCA,LGA,2172,N736UW,1/2/2004,5,2,2015,1,5,0,214,delayed,530,1258,820,826,6,,2,230,230,210,14.46,164.24
US,DCA,LGA,2176,N710UW,1/2/2004,5,2,2015,1,5,0,214,delayed,530,1458,852,856,4,,4,142,142,125,14.4293,164.21
US,DCA,LGA,2180,N736UW,1/2/2004,5,2,2015,1,5,0,214,ontime,530,1655,907,906,-1,,-1,157,157,138,14.43,164.24
US,DCA,LGA,2184,N710UW,1/2/2004,5,2,2015,1,5,0,214,delayed,530,1855,835,941,66,,53,125,125,96,14.47,164.34
US,DCA,LGA,2188,N736UW,1/2/2004,5,2,2015,1,5,0,214,ontime,530,2056,525,511,-14,,-3,55,55,22,14.455,164.19
RU,BWI,EWR,2675,N19966,1/2/2004,5,2,2015,1,5,0,169,ontime,530,1715,810,752,-18,,-4,160,160,128,14.431,164.1097
RU,BWI,EWR,2303,N12540,1/2/2004,5,2,2015,1,5,0,169,ontime,530,1030,938,913,-25,,-4,188,188,149,14.43,164.08
RU,BWI,EWR,2703,N16961,1/2/2004,5,2,2015,1,5,0,169,delayed,530,656,700,890,14,,16,90,90,690,14.3838,164.11
RU,BWI,EWR,2403,N12946,1/2/2004,5,2,2015,1,5,0,169,ontime,530,1456,913,926,13,,-4,163,163,143,14.395,164.03
CO,DCA,EWR,814,N14342,1/2/2004,5,2,2015,1,5,0,199,delayed,531,1727,857,923,26,,19,146,146,127,14.38,164.21
CO,DCA,EWR,808,N14664,1/2/2004,5,2,2015,1,5,0,199,delayed,533,1301,720,723,3,,7,167,167,142,14.41,164.14
CO,DCA,EWR,806,N11641,1/2/2004,5,2,2015,1,5,0,199,delayed,535,754,802,816,14,,6,207,207,194,14.4,164.09
DH,IAD,EWR,7299,N679BR,1/2/2004,5,2,2015,1,5,0,213,ontime,535,837,703,648,-15,,-5,88,88,56,14.3801,164.08
DH,IAD,EWR,7303,N686BR,1/2/2004,5,2,2015,1,6,0,213,ontime,535,1350,700,635,-25,,-7,85,85,50,14.37,164.09
DH,IAD,EWR,7307,N309UE,1/2/2004,5,2,2015,1,6,0,213,delayed,535,1512,1020,1039,19,,43,225,225,184,14.35,163.96
DH,IAD,EWR,7371,N312UE,1/2/2004,5,2,2015,1,6,0,213,ontime,535,629,636,615,-21,,-12,61,61,33,14.325,163.92
RU,DCA,EWR,2181,N14977,1/2/2004,5,2,2015,1,6,0,199,ontime,535,1625,803,745,-18,,-5,88,88,54,14.305,163.7333
RU,IAD,EWR,2855,N13990,1/2/2004,5,2,2015,1,6,0,213,delayed,535,655,800,757,-3,,15,85,85,41,14.35,163.84
RU,DCA,EWR,2582,N14907,1/2/2004,5,2,2015,1,6,0,199,ontime,535,858,650,650,0,,-5,75,75,42,14.35,163.9605
RU,DCA,EWR,2761,N13997,1/2/2004,5,2,2015,1,6,0,199,delayed,538,657,900,1018,78,,56,142,142,129,14.38,164.03
RU,IAD,EWR,2497,N12528,1/2/2004,5,2,2015,1,6,0,213,ontime,538,1650,710,654,-16,,-3,212,212,173,14.4,164.0303
RU,IAD,EWR,2385,N11107,1/2/2004,5,2,2015,1,6,0,213,ontime,540,1856,721,700,-21,,-4,101,101,66,14.38,164.01
RU,IAD,EWR,2692,N14505,1/2/2004,5,2,2015,1,6,0,213,ontime,540,1253,856,823,-33,,-11,136,136,95,14.39,164.05
RU,IAD,EWR,3276,N16151,1/2/2004,5,2,2015,1,6,0,213,delayed,540,854,1123,1331,128,,18,223,223,178,14.42,164.07
RU,DCA,EWR,2336,N15985,1/2/2004,5,2,2015,1,7,0,199,delayed,540,1858,842,827,-15,,6,122,122,84,14.4457,164.28
RU,DCA,EWR,2879,N17108,1/2/2004,5,2,2015,1,7,0,199,ontime,540,2050,803,742,-21,,-3,143,143,105,14.431,164.2
RU,DCA,EWR,2216,N13118,1/2/2004,5,2,2015,1,7,0,199,delayed,540,1358,725,739,14,,16,105,105,79,14.415,164.125
RU,IAD,EWR,2156,N11107,1/2/2004,5,2,2015,1,7,0,213,ontime,540,1510,757,743,-14,,-9,137,137,109,14.41,164.18
RU,DCA,EWR,2261,N15574,1/2/2004,5,2,2015,1,7,0,199,ontime,540,1519,921,946,25,,-2,161,161,138,14.41,164.0494
DH,IAD,LGA,7208,N688BR,1/3/2004,6,3,2015,1,7,0,229,ontime,540,1243,953,937,-16,,-3,193,193,158,14.395,164.06
DH,IAD,LGA,7215,N639BR,1/3/2004,6,3,2015,1,7,0,229,ontime,541,1738,725,732,7,,-2,104,104,72,14.39,164.01
DH,IAD,LGA,7790,N696BR,1/3/2004,6,3,2015,1,7,0,229,ontime,544,640,709,658,-11,,-10,145,145,128,14.41,164.1068
DH,IAD,LGA,7792,N696BR,1/3/2004,6,3,2015,1,7,0,229,ontime,545,1030,759,738,-21,,-2,74,74,36,14.436,164.2887
DH,IAD,JFK,7800,N709BR,1/3/2004,6,3,2015,1,7,0,228,ontime,545,855,904,858,-6,,-3,139,139,107,14.445,164.3001
DH,IAD,JFK,7806,N327UE,1/3/2004,6,3,2015,1,7,0,228,ontime,545,1237,1156,1207,11,,-4,251,251,238,14.4458,164.41
DH,IAD,JFK,7808,N309UE,1/3/2004,6,3,2015,1,7,0,228,delayed,545,1455,814,807,-7,,5,209,209,182,14.47,164.36
DH,IAD,JFK,7810,N311UE,1/3/2004,6,3,2015,1,8,0,228,ontime,545,1654,650,638,-12,,-6,65,65,41,14.465,164.28
DH,IAD,JFK,7812,N327UE,1/3/2004,6,3,2015,1,8,0,228,delayed,545,1741,850,959,69,,55,185,185,152,14.45,164.23
DH,IAD,JFK,7814,N655BR,1/3/2004,6,3,2015,1,8,0,228,delayed,545,2213,910,901,-9,,6,205,205,170,14.46,164.25
DH,IAD,JFK,7816,N329UE,1/3/2004,6,3,2015,1,8,0,228,ontime,545,1604,702,649,-13,,-2,77,77,44,14.461,164.305
DH,IAD,LGA,7924,N688BR,1/3/2004,6,3,2015,1,8,0,229,delayed,545,2138,1026,1007,-19,,0,221,221,180,14.49,164.19
DL,DCA,JFK,746,N997DL,1/3/2004,6,3,2015,1,8,0,213,delayed,545,1505,849,847,-2,,18,124,124,86,14.47,164.08
DL,DCA,LGA,1744,N225DL,1/3/2004,6,3,2015,1,8,0,214,ontime,545,828,741,742,1,,-5,116,116,91,14.4938,164.21
DL,DCA,LGA,1748,N242DL,1/3/2004,6,3,2015,1,8,0,214,delayed,545,1030,726,743,17,,36,161,161,120,14.47,164.27
DL,DCA,LGA,1752,N225DL,1/3/2004,6,3,2015,1,8,0,214,ontime,545,1230,654,646,-8,,-7,129,129,104,14.45,164.25
DL,DCA,LGA,1756,N242DL,1/3/2004,6,3,2015,1,8,0,214,delayed,545,1428,755,750,8,,3,190,190,478,14.46,164.3086
DL,DCA,LGA,1760,N225DL,1/3/2004,6,3,2015,1,8,0,214,delayed,545,1629,715,811,56,,73,150,150,112,14.47,164.3
DL,DCA,LGA,1764,N242DL,1/3/2004,6,3,2015,1,8,0,214,ontime,545,1829,919,929,10,,-3,154,154,134,14.48,164.38
DL,DCA,LGA,1768,N225DL,1/3/2004,6,3,2015,1,8,0,214,delayed,545,2024,651,750,4,,79,66,66,468,14.48,164.33
MQ,DCA,JFK,4752,N734MQ,1/3/2004,6,3,2015,1,8,0,213,ontime,548,1600,630,624,-6,,-8,42,42,27,14.485,164.3
MQ,DCA,JFK,4760,N712MQ,1/3/2004,6,3,2015,1,8,0,213,ontime,549,555,725,719,-6,,-9,96,96,78,14.5199,164.375
MQ,DCA,JFK,4784,N709MQ,1/3/2004,6,3,2015,1,8,0,213,ontime,550,1829,1404,1329,-35,,-3,314,314,263,14.525,164.43
MQ,DCA,LGA,4956,N739MQ,1/3/2004,6,3,2015,1,8,0,214,ontime,550,855,750,754,4,,-5,240,240,234,14.525,164.345
MQ,DCA,LGA,4964,N739MQ,1/3/2004,6,3,2015,1,8,0,214,delayed,550,1254,915,906,-9,,0,145,145,118,14.55,164.2667
UA,IAD,LGA,846,N567UA,1/3/2004,6,3,2015,1,8,0,229,delayed,550,849,804,847,43,,39,194,194,170,14.53,164.2601
US,DCA,LGA,2160,N760UW,1/3/2004,6,3,2015,1,8,0,214,delayed,550,655,718,659,-19,,2,88,88,46,14.505,164.26
US,DCA,LGA,2164,N710UW,1/3/2004,6,3,2015,1,8,0,214,delayed,550,858,749,739,-10,,0,119,119,91,14.52,164.31
US,DCA,LGA,2168,N760UW,1/3/2004,6,3,2015,1,8,0,214,ontime,550,1059,748,743,-5,,-6,178,178,159,14.5,164.22
US,DCA,LGA,2172,N710UW,1/3/2004,6,3,2015,1,8,0,214,ontime,550,1256,650,649,-1,,-2,60,60,36,14.51,164.13
US,DCA,LGA,2176,N760UW,1/3/2004,6,3,2015,1,8,0,214,delayed,550,1500,1050,1052,2,,10,180,180,150,14.5184,164.0425
US,DCA,LGA,2180,N710UW,1/3/2004,6,3,2015,1,9,0,214,delayed,550,1658,649,649,0,,0,59,59,28,14.5101,164.0905
US,DCA,LGA,2184,N760UW,1/3/2004,6,3,2015,1,9,0,214,ontime,550,1857,819,812,-7,,-2,149,149,127,14.51,164.01
RU,BWI,EWR,2675,N15574,1/3/2004,6,3,2015,1,9,0,169,ontime,550,1714,805,806,1,,-2,135,135,110,14.5,163.88
RU,BWI,EWR,2703,N11536,1/3/2004,6,3,2015,1,9,0,169,ontime,550,655,718,659,-19,,-7,88,88,58,14.53,163.9342
RU,BWI,EWR,2303,N14907,1/3/2004,6,3,2015,1,9,0,169,delayed,550,1026,645,600,-7,,46,55,55,213,14.51,163.91
RU,BWI,EWR,2267,N14974,1/3/2004,6,3,2015,1,9,0,169,ontime,550,1448,815,828,13,,-2,205,205,195,14.51,163.94
CO,DCA,EWR,808,N11612,1/3/2004,6,3,2015,1,9,0,199,delayed,550,1255,920,940,20,,6,150,150,125,14.5268,164.07
DH,IAD,EWR,7299,N693BR,1/3/2004,6,3,2015,1,9,0,213,delayed,550,857,759,740,-19,,7,249,249,198,14.505,164.02
DH,IAD,EWR,7302,N693BR,1/3/2004,6,3,2015,1,9,0,213,delayed,550,1705,810,831,21,,15,140,140,120,14.5,163.89
DH,IAD,EWR,7303,N672BR,1/3/2004,6,3,2015,1,9,0,213,ontime,550,1329,913,919,6,,-1,143,143,130,14.47,163.8001
DH,IAD,EWR,7304,N643BR,1/3/2004,6,3,2015,1,9,0,213,ontime,553,2126,839,848,9,,-2,166,166,162,14.44,163.65
DH,IAD,EWR,7371,N333UE,1/3/2004,6,3,2015,1,9,0,213,delayed,554,625,905,848,-17,,0,131,131,84,14.44,163.6
RU,IAD,EWR,2497,N17146,1/3/2004,6,3,2015,1,9,0,213,ontime,555,1722,925,923,-2,,-2,150,150,132,14.44,163.58
RU,DCA,EWR,2216,N17513,1/3/2004,6,3,2015,1,9,0,199,delayed,555,1356,836,840,4,,2,341,341,310,14.4301,163.6
RU,IAD,EWR,2855,N14925,1/3/2004,6,3,2015,1,9,0,213,ontime,555,658,831,818,-13,,-6,156,156,131,14.4299,163.59
RU,DCA,EWR,2582,N14977,1/3/2004,6,3,2015,1,9,0,199,delayed,555,941,1150,1206,16,,0,235,235,216,14.415,163.59
RU,DCA,EWR,2097,N14998,1/3/2004,6,3,2015,1,9,0,199,ontime,555,1738,930,920,-10,,-4,275,275,243,14.4257,163.59
RU,DCA,EWR,2181,N13955,1/3/2004,6,3,2015,1,9,0,199,ontime,555,1556,718,705,-13,,-5,83,83,43,14.4358,163.63
RU,IAD,EWR,2156,N12136,1/3/2004,6,3,2015,1,9,0,213,ontime,555,1511,720,703,-17,,-5,85,85,48,14.445,163.63
RU,DCA,EWR,2761,N14907,1/3/2004,6,3,2015,1,9,0,199,ontime,555,703,645,636,-9,,-9,50,50,25,14.456,163.83
OH,BWI,JFK,5935,N973CA,1/4/2004,7,4,2015,1,9,0,184,ontime,555,1605,729,717,-12,,-1,94,94,58,14.46,163.908
DH,DCA,JFK,6155,N424FJ,1/4/2004,7,4,2015,1,9,0,213,delayed,555,1644,604,610,6,,0,69,69,39,14.48,163.86
DH,IAD,LGA,7208,N632BR,1/4/2004,7,4,2015,1,9,0,229,delayed,555,1249,715,1101,226,,23,80,80,48,14.47,163.89
DH,IAD,LGA,7211,N654BR,1/4/2004,7,4,2015,1,9,0,229,delayed,555,1535,710,600,-8,,10,75,75,788,14.455,163.8707
DH,IAD,LGA,7215,N634BR,1/4/2004,7,4,2015,1,9,0,229,ontime,556,1837,730,708,-22,,-18,94,94,65,14.48,163.92
DH,IAD,LGA,7790,N654BR,1/4/2004,7,4,2015,1,9,0,229,ontime,556,640,900,927,27,,-9,124,124,92,14.508,163.98
DH,IAD,LGA,7792,N654BR,1/4/2004,7,4,2015,1,9,0,229,ontime,557,1032,1109,1053,-16,,-2,192,192,160,14.5102,164.11
DH,IAD,JFK,7800,N673BR,1/4/2004,7,4,2015,1,9,0,228,ontime,559,900,902,849,-13,,-7,183,183,149,14.5362,164.09
DH,IAD,JFK,7806,N330UE,1/4/2004,7,4,2015,1,9,0,228,delayed,559,1243,920,1116,116,,19,141,141,123,14.535,164.05
DH,IAD,JFK,7808,N314UE,1/4/2004,7,4,2015,1,9,0,228,ontime,600,1504,719,656,-23,,-4,139,139,100,14.52,164
DH,IAD,JFK,7810,N313UE,1/4/2004,7,4,2015,1,9,0,228,ontime,600,1642,750,747,-3,,-5,170,170,146,14.5,164.05
DH,IAD,JFK,7812,N312UE,1/4/2004,7,4,2015,1,9,0,228,delayed,600,1709,928,1131,123,,11,148,148,118,14.51,163.93
DH,IAD,JFK,7814,N626BR,1/4/2004,7,4,2015,1,9,0,228,delayed,600,2120,736,735,-1,,0,156,156,133,14.505,164.0001
DH,IAD,JFK,7816,N327UE,1/4/2004,7,4,2015,1,9,0,228,delayed,600,1607,853,835,-18,,3,173,173,135,14.5274,164.09
DH,IAD,LGA,7924,N674BR,1/4/2004,7,4,2015,1,10,0,229,delayed,600,2116,737,731,-6,,12,97,97,57,14.51,163.97
DL,DCA,JFK,746,N912DL,1/4/2004,7,4,2015,1,10,0,213,ontime,600,1500,850,902,12,,-9,110,110,90,14.53,164.0401
DL,DCA,LGA,1744,N242DL,1/4/2004,7,4,2015,1,10,0,214,ontime,600,828,855,903,8,,-2,115,115,88,14.51,164
DL,DCA,LGA,1748,N221DL,1/4/2004,7,4,2015,1,10,0,214,ontime,600,1028,819,805,-14,,-5,139,139,114,14.525,163.9901
DL,DCA,LGA,1752,N242DL,1/4/2004,7,4,2015,1,10,0,214,ontime,600,1230,910,924,14,,-3,130,130,120,14.54,164.0601
DL,DCA,LGA,1756,N221DL,1/4/2004,7,4,2015,1,10,0,214,delayed,600,1432,815,839,24,,22,195,195,175,14.53,164.13
