schedtime,carrier,deptime,dest,distance,date,flightnumber,origin,weather,dayweek,daymonth,tailnu,delay,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
220,RU,1508,EWR,213,1/1/2004,2156,IAD,0,4,1,N16149,ontime,-11,200,200,640,628,-12
255,RU,1255,EWR,213,1/1/2004,2664,IAD,0,4,1,N12519,ontime,-7,185,185,500,451,-9
259,RU,1625,EWR,199,1/1/2004,2181,DCA,0,4,1,N19966,ontime,-1,240,240,559,605,6
307,OH,1455,JFK,184,1/2/2004,5935,BWI,0,5,2,N995CA,ontime,-3,173,173,500,520,20
330,DH,1641,JFK,213,1/2/2004,6155,DCA,0,5,2,N415FJ,ontime,-14,245,245,635,619,-16
400,DH,1249,LGA,229,1/2/2004,7208,IAD,0,5,2,N688BR,ontime,95,185,185,605,730,85
419,DH,1531,LGA,229,1/2/2004,7211,IAD,0,5,2,N665BR,delayed,4,174,174,613,606,-7
424,DH,1712,LGA,229,1/2/2004,7215,IAD,0,5,2,N639BR,ontime,-11,186,186,630,629,-1
438,DH,645,LGA,229,1/2/2004,7790,IAD,0,5,2,N686BR,ontime,72,241,241,739,908,89
500,DH,1236,LGA,229,1/2/2004,7792,IAD,0,5,2,N665BR,delayed,-1,228,228,748,751,3
500,DH,859,JFK,228,1/2/2004,7800,IAD,0,5,2,N645BR,ontime,-4,70,70,610,610,0
500,DH,1232,JFK,228,1/2/2004,7806,IAD,0,5,2,N332UE,ontime,-8,49,49,549,543,-6
500,DH,1455,JFK,228,1/2/2004,7808,IAD,0,5,2,N324UE,ontime,13,89,89,629,638,9
502,DH,1645,JFK,228,1/2/2004,7810,IAD,0,5,2,N305UE,ontime,-1,42,42,544,549,5
505,DH,1716,JFK,228,1/2/2004,7812,IAD,0,5,2,N322UE,ontime,-8,205,205,930,916,-14
505,DH,2305,JFK,228,1/2/2004,7814,IAD,0,5,2,N657BR,delayed,-11,36,36,541,530,-11
510,DH,1605,JFK,228,1/2/2004,7816,IAD,0,5,2,N315UE,ontime,4,175,175,805,816,11
510,DH,2118,LGA,229,1/2/2004,7924,IAD,0,5,2,N709BR,ontime,-3,63,63,613,602,-11
510,DL,1458,JFK,213,1/2/2004,746,DCA,0,5,2,N964DL,ontime,-4,140,140,730,720,-10
510,DL,930,LGA,214,1/2/2004,1746,DCA,0,5,2,N241DL,ontime,-10,68,68,618,618,0
510,DL,1230,LGA,214,1/2/2004,1752,DCA,0,5,2,N225DL,ontime,-2,69,69,619,615,-4
510,DL,1427,LGA,214,1/2/2004,1756,DCA,0,5,2,N241DL,ontime,917,87,87,637,,
515,DL,1730,LGA,214,1/2/2004,1762,DCA,0,5,2,N225DL,ontime,-5,165,165,900,858,-2
515,DL,2028,LGA,214,1/2/2004,1768,DCA,0,5,2,N241DL,ontime,108,161,161,856,1038,102
515,MQ,1522,JFK,213,1/2/2004,4752,DCA,0,5,2,N720MQ,ontime,-5,208,208,843,845,2
515,MQ,552,JFK,213,1/2/2004,4760,DCA,0,5,2,N736MQ,ontime,2,178,178,813,826,13
520,MQ,1847,JFK,213,1/2/2004,4784,DCA,0,5,2,N727MQ,ontime,60,150,150,850,950,60
520,MQ,852,LGA,214,1/2/2004,4956,DCA,0,5,2,N713MQ,ontime,58,141,141,841,935,54
520,MQ,1053,LGA,214,1/2/2004,4960,DCA,0,5,2,N708MQ,ontime,-9,103,103,803,757,-6
520,MQ,1258,LGA,214,1/2/2004,4964,DCA,0,5,2,N713MQ,ontime,-3,74,74,634,629,-5
520,MQ,1402,LGA,214,1/2/2004,4966,DCA,0,5,2,N718MQ,ontime,-6,66,66,726,711,-15
520,MQ,1456,LGA,214,1/2/2004,4968,DCA,0,5,2,N708MQ,ontime,5,112,112,612,615,3
520,UA,850,LGA,229,1/2/2004,846,IAD,0,5,2,N556UA,ontime,-3,60,60,620,629,9
523,US,657,LGA,214,1/2/2004,2160,DCA,0,5,2,N710UW,ontime,-10,37,37,600,548,-12
525,US,857,LGA,214,1/2/2004,2164,DCA,0,5,2,N736UW,ontime,0,65,65,730,735,5
525,US,1058,LGA,214,1/2/2004,2168,DCA,0,5,2,N710UW,ontime,533,95,95,700,,
530,US,1258,LGA,214,1/2/2004,2172,DCA,0,5,2,N736UW,ontime,2,230,230,820,826,6
530,US,1458,LGA,214,1/2/2004,2176,DCA,0,5,2,N710UW,ontime,4,142,142,852,856,4
530,US,1655,LGA,214,1/2/2004,2180,DCA,0,5,2,N736UW,ontime,-1,157,157,907,906,-1
530,US,1855,LGA,214,1/2/2004,2184,DCA,0,5,2,N710UW,ontime,53,125,125,835,941,66
530,US,2056,LGA,214,1/2/2004,2188,DCA,0,5,2,N736UW,ontime,-3,55,55,525,511,-14
530,RU,1715,EWR,169,1/2/2004,2675,BWI,0,5,2,N19966,ontime,-4,160,160,810,752,-18
530,RU,1030,EWR,169,1/2/2004,2303,BWI,0,5,2,N12540,ontime,-4,188,188,938,913,-25
530,RU,656,EWR,169,1/2/2004,2703,BWI,0,5,2,N16961,ontime,126,90,90,700,,
530,RU,1456,EWR,169,1/2/2004,2403,BWI,0,5,2,N12946,ontime,-4,163,163,913,926,13
531,CO,1727,EWR,199,1/2/2004,814,DCA,0,5,2,N14342,ontime,19,146,146,857,923,26
533,CO,1301,EWR,199,1/2/2004,808,DCA,0,5,2,N14664,ontime,7,167,167,720,723,3
535,CO,754,EWR,199,1/2/2004,806,DCA,0,5,2,N11641,ontime,6,207,207,802,816,14
535,DH,837,EWR,213,1/2/2004,7299,IAD,0,5,2,N679BR,ontime,-5,88,88,703,648,-15
535,DH,1350,EWR,213,1/2/2004,7303,IAD,0,5,2,N686BR,delayed,-7,85,85,700,635,-25
535,DH,1512,EWR,213,1/2/2004,7307,IAD,0,5,2,N309UE,delayed,43,225,225,1020,1039,19
535,DH,629,EWR,213,1/2/2004,7371,IAD,0,5,2,N312UE,ontime,-12,61,61,636,615,-21
535,RU,1625,EWR,199,1/2/2004,2181,DCA,0,5,2,N14977,ontime,-5,88,88,803,745,-18
535,RU,655,EWR,213,1/2/2004,2855,IAD,0,5,2,N13990,ontime,15,85,85,800,757,-3
535,RU,858,EWR,199,1/2/2004,2582,DCA,0,5,2,N14907,ontime,-5,75,75,650,650,0
538,RU,657,EWR,199,1/2/2004,2761,DCA,0,5,2,N13997,ontime,56,142,142,900,1018,78
538,RU,1650,EWR,213,1/2/2004,2497,IAD,0,5,2,N12528,ontime,-3,212,212,710,654,-16
540,RU,1856,EWR,213,1/2/2004,2385,IAD,0,5,2,N11107,ontime,-4,101,101,721,700,-21
540,RU,1253,EWR,213,1/2/2004,2692,IAD,0,5,2,N14505,ontime,-11,136,136,856,823,-33
540,RU,854,EWR,213,1/2/2004,3276,IAD,0,5,2,N16151,ontime,148,223,223,1123,1331,128
540,RU,1858,EWR,199,1/2/2004,2336,DCA,0,5,2,N15985,ontime,6,122,122,842,827,-15
540,RU,2050,EWR,199,1/2/2004,2879,DCA,0,5,2,N17108,ontime,-3,143,143,803,742,-21
540,RU,1358,EWR,199,1/2/2004,2216,DCA,0,5,2,N13118,ontime,16,105,105,725,739,14
540,RU,1510,EWR,213,1/2/2004,2156,IAD,0,5,2,N11107,delayed,-9,137,137,757,743,-14
540,RU,1519,EWR,199,1/2/2004,2261,DCA,0,5,2,N15574,ontime,-2,161,161,921,946,25
540,DH,1243,LGA,229,1/3/2004,7208,IAD,0,6,3,N688BR,ontime,-3,193,193,953,937,-16
541,DH,1738,LGA,229,1/3/2004,7215,IAD,0,6,3,N639BR,ontime,-2,104,104,725,732,7
544,DH,640,LGA,229,1/3/2004,7790,IAD,0,6,3,N696BR,ontime,-10,145,145,709,658,-11
545,DH,1030,LGA,229,1/3/2004,7792,IAD,0,6,3,N696BR,ontime,-2,74,74,759,738,-21
545,DH,855,JFK,228,1/3/2004,7800,IAD,0,6,3,N709BR,ontime,-3,139,139,904,858,-6
545,DH,1237,JFK,228,1/3/2004,7806,IAD,0,6,3,N327UE,ontime,-4,251,251,1156,1207,11
545,DH,1455,JFK,228,1/3/2004,7808,IAD,0,6,3,N309UE,ontime,5,209,209,814,807,-7
545,DH,1654,JFK,228,1/3/2004,7810,IAD,0,6,3,N311UE,ontime,-6,65,65,650,638,-12
545,DH,1741,JFK,228,1/3/2004,7812,IAD,0,6,3,N327UE,ontime,55,185,185,850,959,69
545,DH,2213,JFK,228,1/3/2004,7814,IAD,0,6,3,N655BR,delayed,6,205,205,910,901,-9
545,DH,1604,JFK,228,1/3/2004,7816,IAD,0,6,3,N329UE,ontime,-2,77,77,702,649,-13
545,DH,2138,LGA,229,1/3/2004,7924,IAD,0,6,3,N688BR,ontime,0,221,221,1026,1007,-19
545,DL,1505,JFK,213,1/3/2004,746,DCA,0,6,3,N997DL,delayed,18,124,124,849,847,-2
545,DL,828,LGA,214,1/3/2004,1744,DCA,0,6,3,N225DL,ontime,-5,116,116,741,742,1
545,DL,1030,LGA,214,1/3/2004,1748,DCA,0,6,3,N242DL,ontime,36,161,161,726,743,17
545,DL,1230,LGA,214,1/3/2004,1752,DCA,0,6,3,N225DL,ontime,-7,129,129,654,646,-8
545,DL,1428,LGA,214,1/3/2004,1756,DCA,0,6,3,N242DL,ontime,883,190,190,755,,
545,DL,1629,LGA,214,1/3/2004,1760,DCA,0,6,3,N225DL,ontime,73,150,150,715,811,56
545,DL,1829,LGA,214,1/3/2004,1764,DCA,0,6,3,N242DL,ontime,-3,154,154,919,929,10
545,DL,2024,LGA,214,1/3/2004,1768,DCA,0,6,3,N225DL,ontime,1479,66,66,651,,
548,MQ,1600,JFK,213,1/3/2004,4752,DCA,0,6,3,N734MQ,delayed,-8,42,42,630,624,-6
549,MQ,555,JFK,213,1/3/2004,4760,DCA,0,6,3,N712MQ,ontime,-9,96,96,725,719,-6
550,MQ,1829,JFK,213,1/3/2004,4784,DCA,0,6,3,N709MQ,ontime,-3,314,314,1404,1329,-35
550,MQ,855,LGA,214,1/3/2004,4956,DCA,0,6,3,N739MQ,ontime,-5,240,240,750,754,4
550,MQ,1254,LGA,214,1/3/2004,4964,DCA,0,6,3,N739MQ,ontime,0,145,145,915,906,-9
550,UA,849,LGA,229,1/3/2004,846,IAD,0,6,3,N567UA,ontime,39,194,194,804,847,43
550,US,655,LGA,214,1/3/2004,2160,DCA,0,6,3,N760UW,ontime,2,88,88,718,659,-19
550,US,858,LGA,214,1/3/2004,2164,DCA,0,6,3,N710UW,ontime,0,119,119,749,739,-10
550,US,1059,LGA,214,1/3/2004,2168,DCA,0,6,3,N760UW,ontime,-6,178,178,748,743,-5
550,US,1256,LGA,214,1/3/2004,2172,DCA,0,6,3,N710UW,ontime,-2,60,60,650,649,-1
550,US,1500,LGA,214,1/3/2004,2176,DCA,0,6,3,N760UW,ontime,10,180,180,1050,1052,2
550,US,1658,LGA,214,1/3/2004,2180,DCA,0,6,3,N710UW,ontime,0,59,59,649,649,0
550,US,1857,LGA,214,1/3/2004,2184,DCA,0,6,3,N760UW,ontime,-2,149,149,819,812,-7
550,RU,1714,EWR,169,1/3/2004,2675,BWI,0,6,3,N15574,ontime,-2,135,135,805,806,1
550,RU,655,EWR,169,1/3/2004,2703,BWI,0,6,3,N11536,ontime,-7,88,88,718,659,-19
550,RU,1026,EWR,169,1/3/2004,2303,BWI,0,6,3,N14907,ontime,476,55,55,645,,
550,RU,1448,EWR,169,1/3/2004,2267,BWI,0,6,3,N14974,ontime,-2,205,205,815,828,13
550,CO,1255,EWR,199,1/3/2004,808,DCA,0,6,3,N11612,ontime,6,150,150,920,940,20
550,DH,857,EWR,213,1/3/2004,7299,IAD,0,6,3,N693BR,delayed,7,249,249,759,740,-19
550,DH,1705,EWR,213,1/3/2004,7302,IAD,0,6,3,N693BR,ontime,15,140,140,810,831,21
550,DH,1329,EWR,213,1/3/2004,7303,IAD,0,6,3,N672BR,delayed,-1,143,143,913,919,6
553,DH,2126,EWR,213,1/3/2004,7304,IAD,0,6,3,N643BR,ontime,-2,166,166,839,848,9
554,DH,625,EWR,213,1/3/2004,7371,IAD,0,6,3,N333UE,ontime,0,131,131,905,848,-17
555,RU,1722,EWR,213,1/3/2004,2497,IAD,0,6,3,N17146,ontime,-2,150,150,925,923,-2
555,RU,1356,EWR,199,1/3/2004,2216,DCA,0,6,3,N17513,ontime,2,341,341,836,840,4
555,RU,658,EWR,213,1/3/2004,2855,IAD,0,6,3,N14925,ontime,-6,156,156,831,818,-13
555,RU,941,EWR,199,1/3/2004,2582,DCA,0,6,3,N14977,ontime,0,235,235,1150,1206,16
555,RU,1738,EWR,199,1/3/2004,2097,DCA,0,6,3,N14998,ontime,-4,275,275,930,920,-10
555,RU,1556,EWR,199,1/3/2004,2181,DCA,0,6,3,N13955,ontime,-5,83,83,718,705,-13
555,RU,1511,EWR,213,1/3/2004,2156,IAD,0,6,3,N12136,ontime,-5,85,85,720,703,-17
555,RU,703,EWR,199,1/3/2004,2761,DCA,0,6,3,N14907,ontime,-9,50,50,645,636,-9
555,OH,1605,JFK,184,1/4/2004,5935,BWI,0,7,4,N973CA,delayed,-1,94,94,729,717,-12
555,DH,1644,JFK,213,1/4/2004,6155,DCA,0,7,4,N424FJ,ontime,0,69,69,604,610,6
555,DH,1249,LGA,229,1/4/2004,7208,IAD,0,7,4,N632BR,ontime,213,80,80,715,1101,226
555,DH,1535,LGA,229,1/4/2004,7211,IAD,0,7,4,N654BR,delayed,980,75,75,710,,
556,DH,1837,LGA,229,1/4/2004,7215,IAD,0,7,4,N634BR,delayed,-18,94,94,730,708,-22
556,DH,640,LGA,229,1/4/2004,7790,IAD,0,7,4,N654BR,ontime,-9,124,124,900,927,27
557,DH,1032,LGA,229,1/4/2004,7792,IAD,0,7,4,N654BR,ontime,-2,192,192,1109,1053,-16
559,DH,900,JFK,228,1/4/2004,7800,IAD,0,7,4,N673BR,ontime,-7,183,183,902,849,-13
559,DH,1243,JFK,228,1/4/2004,7806,IAD,0,7,4,N330UE,ontime,119,141,141,920,1116,116
600,DH,1504,JFK,228,1/4/2004,7808,IAD,0,7,4,N314UE,ontime,-4,139,139,719,656,-23
600,DH,1642,JFK,228,1/4/2004,7810,IAD,0,7,4,N313UE,ontime,-5,170,170,750,747,-3
600,DH,1709,JFK,228,1/4/2004,7812,IAD,0,7,4,N312UE,ontime,111,148,148,928,1131,123
600,DH,2120,JFK,228,1/4/2004,7814,IAD,0,7,4,N626BR,ontime,0,156,156,736,735,-1
600,DH,1607,JFK,228,1/4/2004,7816,IAD,0,7,4,N327UE,ontime,3,173,173,853,835,-18
600,DH,2116,LGA,229,1/4/2004,7924,IAD,0,7,4,N674BR,ontime,12,97,97,737,731,-6
600,DL,1500,JFK,213,1/4/2004,746,DCA,0,7,4,N912DL,ontime,-9,110,110,850,902,12
600,DL,828,LGA,214,1/4/2004,1744,DCA,0,7,4,N242DL,ontime,-2,115,115,855,903,8
600,DL,1028,LGA,214,1/4/2004,1748,DCA,0,7,4,N221DL,ontime,-5,139,139,819,805,-14
600,DL,1230,LGA,214,1/4/2004,1752,DCA,0,7,4,N242DL,ontime,-3,130,130,910,924,14
600,DL,1432,LGA,214,1/4/2004,1756,DCA,0,7,4,N221DL,ontime,22,195,195,815,839,24
600,DL,1629,LGA,214,1/4/2004,1760,DCA,0,7,4,N242DL,ontime,-8,142,142,922,918,-4
600,DL,1832,LGA,214,1/4/2004,1764,DCA,0,7,4,N221DL,ontime,-4,105,105,745,719,-26
600,DL,2030,LGA,214,1/4/2004,1768,DCA,0,7,4,N242DL,ontime,2,270,270,1330,1305,-25
600,MQ,1534,JFK,213,1/4/2004,4752,DCA,0,7,4,N712MQ,delayed,7,120,120,900,922,22
600,MQ,554,JFK,213,1/4/2004,4760,DCA,0,7,4,N737MQ,ontime,1,95,95,735,729,-6
600,MQ,745,JFK,213,1/4/2004,4771,DCA,0,7,4,N719MQ,ontime,-1,170,170,850,824,-26
600,MQ,1858,JFK,213,1/4/2004,4784,DCA,0,7,4,N727MQ,delayed,6,100,100,740,727,-13
600,MQ,1257,LGA,214,1/4/2004,4964,DCA,0,7,4,N737MQ,ontime,-6,280,280,1340,1324,-16
600,MQ,1458,LGA,214,1/4/2004,4968,DCA,0,7,4,N727MQ,delayed,-3,257,257,1217,1213,-4
600,MQ,1659,LGA,214,1/4/2004,4972,DCA,0,7,4,N708MQ,ontime,-5,154,154,834,816,-18
600,MQ,1936,LGA,214,1/4/2004,4976,DCA,0,7,4,N719MQ,delayed,13,244,244,1204,1215,11
600,UA,849,LGA,229,1/4/2004,846,IAD,0,7,4,N559UA,ontime,-3,173,173,753,742,-11
600,US,858,LGA,214,1/4/2004,2164,DCA,0,7,4,N730UW,ontime,5,88,88,728,717,-11
600,US,954,LGA,214,1/4/2004,2166,DCA,0,7,4,N765UW,ontime,16,207,207,727,724,-3
600,US,1055,LGA,214,1/4/2004,2168,DCA,0,7,4,N746UW,ontime,3,404,404,944,939,-5
600,US,1158,LGA,214,1/4/2004,2170,DCA,0,7,4,N711UW,ontime,6,311,311,1411,1357,-14
600,US,1257,LGA,214,1/4/2004,2172,DCA,0,7,4,N730UW,ontime,7,250,250,1210,1154,-16
600,US,1359,LGA,214,1/4/2004,2174,DCA,0,7,4,N765UW,ontime,-7,170,170,750,746,-4
600,US,1456,LGA,214,1/4/2004,2176,DCA,0,7,4,N746UW,ontime,-3,281,281,841,851,10
600,US,1559,LGA,214,1/4/2004,2178,DCA,0,7,4,N711UW,ontime,-3,114,114,854,857,3
600,US,1658,LGA,214,1/4/2004,2180,DCA,0,7,4,N730UW,ontime,6,145,145,925,928,3
600,US,1758,LGA,214,1/4/2004,2182,DCA,0,7,4,N765UW,ontime,4,164,164,844,858,14
600,US,1857,LGA,214,1/4/2004,2184,DCA,0,7,4,N746UW,ontime,1,170,170,950,1002,12
600,US,1957,LGA,214,1/4/2004,2186,DCA,0,7,4,N711UW,ontime,1357,215,215,835,,
600,US,2059,LGA,214,1/4/2004,2188,DCA,0,7,4,N730UW,ontime,-1,194,194,814,813,-1
600,RU,1615,EWR,169,1/4/2004,2403,BWI,0,7,4,N14943,delayed,43,163,163,843,914,31
600,RU,1416,EWR,169,1/4/2004,2703,BWI,0,7,4,N13949,delayed,-6,190,190,1010,1005,-5
600,RU,2030,EWR,169,1/4/2004,2603,BWI,0,7,4,N14933,delayed,1430,245,245,905,,
600,RU,1235,EWR,169,1/4/2004,2303,BWI,0,7,4,N19966,delayed,1,155,155,935,908,-27
600,CO,1255,EWR,199,1/4/2004,808,DCA,0,7,4,N59630,ontime,6,105,105,745,748,3
600,CO,1833,EWR,199,1/4/2004,810,DCA,0,7,4,N16649,delayed,1233,185,185,805,,
600,DH,857,EWR,213,1/4/2004,7299,IAD,0,7,4,N640BR,ontime,257,210,210,1130,,
600,DH,1917,EWR,213,1/4/2004,7302,IAD,0,7,4,N697BR,delayed,-4,75,75,715,704,-11
600,DH,1310,EWR,213,1/4/2004,7303,IAD,0,7,4,N638BR,delayed,68,192,192,912,1002,50
600,DH,2221,EWR,213,1/4/2004,7304,IAD,0,7,4,N697BR,delayed,-5,80,80,720,710,-10
600,DH,1600,EWR,213,1/4/2004,7307,IAD,0,7,4,N328UE,delayed,-2,175,175,855,846,-9
600,RU,1952,EWR,199,1/4/2004,2097,DCA,0,7,4,N12136,delayed,-3,160,160,1040,1047,7
600,RU,927,EWR,199,1/4/2004,2582,DCA,0,7,4,N13992,ontime,-4,225,225,1145,1142,-3
600,RU,858,EWR,213,1/4/2004,3276,IAD,0,7,4,N15985,ontime,-6,170,170,750,730,-20
600,RU,2110,EWR,213,1/4/2004,2385,IAD,0,7,4,N24128,delayed,11,210,210,1130,1201,31
600,RU,1356,EWR,199,1/4/2004,2216,DCA,0,7,4,N16987,delayed,-5,109,109,849,836,-13
600,RU,2120,EWR,199,1/4/2004,2336,DCA,0,7,4,N12569,delayed,-3,245,245,1205,1139,-26
600,RU,1557,EWR,213,1/4/2004,2156,IAD,0,7,4,N18101,delayed,-6,120,120,800,805,5
600,OH,1610,JFK,184,1/5/2004,5935,BWI,0,1,5,N814CA,delayed,10,65,65,705,735,30
600,DH,1638,JFK,213,1/5/2004,6155,DCA,0,1,5,N424FJ,delayed,-3,234,234,854,841,-13
600,DH,1338,LGA,229,1/5/2004,7208,IAD,0,1,5,N674BR,delayed,-16,73,73,713,704,-9
600,DH,1606,LGA,229,1/5/2004,7211,IAD,0,1,5,N643BR,delayed,-10,123,123,803,754,-9
600,DH,1848,LGA,229,1/5/2004,7215,IAD,0,1,5,N649BR,delayed,-5,119,119,759,743,-16
600,DH,633,LGA,229,1/5/2004,7790,IAD,0,1,5,N643BR,delayed,-5,102,102,742,729,-13
600,DH,1054,LGA,229,1/5/2004,7792,IAD,0,1,5,N643BR,ontime,-5,170,170,850,841,-9
600,DH,946,JFK,228,1/5/2004,7800,IAD,0,1,5,N651BR,delayed,-5,175,175,755,743,-12
600,DH,1312,JFK,228,1/5/2004,7806,IAD,0,1,5,N305UE,delayed,-11,190,190,810,736,-34
600,DH,1700,JFK,228,1/5/2004,7810,IAD,0,1,5,N331UE,ontime,-2,75,75,715,718,3
600,DH,1709,JFK,228,1/5/2004,7812,IAD,0,1,5,N332UE,ontime,-3,161,161,841,839,-2
600,DH,2200,JFK,228,1/5/2004,7814,IAD,0,1,5,N683BR,delayed,-1,154,154,834,843,9
600,DH,1651,JFK,228,1/5/2004,7816,IAD,0,1,5,N303UE,delayed,-6,178,178,858,836,-22
600,DH,2125,LGA,229,1/5/2004,7924,IAD,0,1,5,N699BR,ontime,-7,151,151,831,826,-5
600,DL,1459,JFK,213,1/5/2004,746,DCA,0,1,5,N994DL,ontime,-1,161,161,841,843,2
600,DL,630,LGA,214,1/5/2004,1740,DCA,0,1,5,N221DL,ontime,-8,80,80,720,710,-10
600,DL,734,LGA,214,1/5/2004,1742,DCA,0,1,5,N241DL,ontime,0,183,183,903,857,-6
600,DL,830,LGA,214,1/5/2004,1744,DCA,0,1,5,N242DL,ontime,-3,171,171,851,832,-19
600,DL,932,LGA,214,1/5/2004,1746,DCA,0,1,5,N225DL,ontime,-4,180,180,900,839,-21
600,DL,1031,LGA,214,1/5/2004,1748,DCA,0,1,5,N223DZ,ontime,-6,181,181,901,900,-1
